X,RRC_DJI,RRC_DJV,RRC_S.P,RRC_FTSE,RRC_IMO_FTV,RRC_IMO_STI,RRC_IMO_STIV,SGPRIME,UKPRIME,USPRIME,IMO_USINF,IMO_UKINF,IMO_SGINF,SG.D,P.D
05-Nov-86,-1.078078813,-1.046987035,-1.086084297,-1.274984193,-1.146072079,-1.566071299,-0.675384217,5.5,12,7.5,1.29,3.55,-1.38,0.4558,1.4235
12-Nov-86,-1.080998913,-0.751455768,-1.085799364,-1.2652161,-1.152374116,-1.608071509,-0.775596888,5.5,12,7.5,1.29,3.55,-1.38,0.4569,1.427
19-Nov-86,-1.117675159,-0.608903841,-1.128444392,-1.3145499,-1.377416554,-1.626871396,-0.783905815,5.5,12,7.5,1.29,3.55,-1.38,0.4572,1.4188
26-Nov-86,-1.068388891,-0.323315926,-1.075684229,-1.286034964,-1.30176298,-1.63863494,-0.83207806,5.5,12,7.5,1.29,3.55,-1.38,0.457,1.4255
03-Dec-86,-1.051704945,-0.977529919,-1.051654847,-1.3038938,-1.329796539,-1.625281139,-0.847646527,5.5,12,7.5,1.13,3.75,-1.38,0.457,1.431
10-Dec-86,-1.059546564,-0.9215461,-1.06528416,-1.284653618,1.405907583,-1.633101717,-0.857414639,5.5,12,7.5,1.13,3.75,-1.38,0.4567,1.426
17-Dec-86,-1.067541296,-0.662029932,-1.081430385,-1.282976268,0.817978909,-1.622623449,-0.875445719,5.5,12,7.5,1.13,3.75,-1.38,0.456,1.4292
24-Dec-86,-1.062854917,0.044687787,-1.085276986,-1.25456,-0.622087548,-1.595915847,-0.872425858,5.5,12,7.5,1.13,3.75,-1.38,0.4568,1.4575
31-Dec-86,-1.079768534,-1.447913325,-1.1070269,-1.240845203,-1.146072079,-1.619856838,-0.899543332,5.5,12,7.5,1.13,3.75,-1.38,0.4614,1.483
07-Jan-87,-1.026178672,-1.56909742,-1.044531513,-1.1982208,-1.146072079,-1.615608891,-0.85575247,5.5,12,7.5,1.43,3.95,-0.69,0.4607,1.472
14-Jan-87,-1.003725614,-0.155279236,-1.00981713,-1.155793732,0.216253996,-1.474620634,-0.592216433,5.5,12,7.5,1.43,3.95,-0.69,0.4669,1.5045
21-Jan-87,-0.971429519,0.164099672,-0.985122904,-1.159345766,-0.127855124,-1.495882151,-0.701163147,5.5,12,7.5,1.43,3.95,-0.69,0.4664,1.517
28-Jan-87,-0.933522895,-0.072073823,-0.949221298,-1.109518628,-0.189781117,-1.49411762,-0.802992028,5.5,12,7.5,1.43,3.95,-0.69,0.4708,1.54
04-Feb-87,-0.918298999,-0.08248837,-0.929086006,-1.075379638,-0.339950194,-1.441944122,-0.723428161,5.5,12,7.5,2.11,3.93,-1.04,0.4695,1.522
11-Feb-87,-0.928836516,-0.495236361,-0.939058675,-1.026933846,0.628597388,-1.398070459,-0.613181202,5.5,12,7.5,2.11,3.93,-1.04,0.4673,1.5235
18-Feb-87,-0.89292584,-0.494411367,-0.901637425,-0.971482655,0.492463815,-1.318601182,-0.408305539,5.5,12,7.5,2.11,3.93,-1.04,0.4668,1.533
25-Feb-87,-0.899154295,-0.342921198,-0.908380848,-0.950663792,-0.179613387,-1.259325989,-0.470366849,5.5,12,7.5,2.11,3.93,-1.04,0.4678,1.5401
04-Mar-87,-0.882087564,-0.736163624,-0.886440978,-0.921458182,0.122730434,-1.239284395,-0.528935306,5.5,12,7.5,3.04,4.03,-0.7,0.4679,1.5593
11-Mar-87,-0.875782553,-1.025239673,-0.878415354,-0.944447733,0.054498242,-1.228610068,-0.512920658,5.5,11.5,7.5,3.04,4.03,-0.7,0.465,1.589
18-Mar-87,-0.865966859,-0.943174457,-0.866685597,-0.917610146,-0.333379763,-1.322260951,-0.71088913,5.5,11.5,7.5,3.04,4.03,-0.7,0.4662,1.6065
25-Mar-87,-0.824101146,-0.275059392,-0.830594036,-0.881793807,-0.117348261,-1.209004161,-0.674173975,5.5,11,7.5,3.04,4.03,-0.7,0.4676,1.6
01-Apr-87,-0.850043014,-0.436845103,-0.868537664,-0.950663792,-0.488579651,-1.287427789,-0.765666006,5.5,11,7.625,3.81,4.2,0,0.4677,1.593
08-Apr-87,-0.819360084,-0.194687586,-0.845410572,-0.947111758,-0.773353084,-1.197022773,-0.78148916,5.5,11,7.75,3.81,4.2,0,0.467,1.6158
15-Apr-87,-0.868143263,0.275057375,-0.906291336,-1.0008856,-0.49144043,-1.17663263,-0.604012467,5.5,11,7.75,3.81,4.2,0,0.4682,1.6325
22-Apr-87,-0.866508226,-0.50124129,-0.89323189,-0.967831954,-1.146072079,-1.094418526,-0.637837977,5.5,11,7.75,3.81,4.2,0,0.4683,1.63
29-Apr-87,-0.883831969,0.053273838,-0.905673981,-0.886036514,-0.592680816,-1.100866691,-0.47468504,5.5,11,7.75,3.81,4.2,0,0.4698,1.6605
06-May-87,-0.835748739,-0.17962541,-0.853911084,-0.838774733,-1.146072079,-1.061742014,-0.56957992,5.5,10.5,8,3.8,4.19,0.47,0.4719,1.687
13-May-87,-0.842589649,0.240066684,-0.860986929,-0.762899349,0.512564172,-0.989810119,-0.481534782,5.5,10,8,3.8,4.19,0.47,0.4713,1.6693
20-May-87,-0.904824977,-0.893546149,-0.935876919,-0.752440583,0.33404321,-0.930317083,-0.250799762,5.5,10,8.25,3.8,4.19,0.47,0.473,1.6835
27-May-87,-0.861110961,-0.92004728,-0.8859186,-0.780363514,-1.146072079,-0.917529674,-0.44471622,5.5,10,8.25,3.8,4.19,0.47,0.4724,1.625
03-Jun-87,-0.847505698,-0.829732122,-0.863408863,-0.691858677,0.026703949,-0.861434995,-0.437004754,5.5,10,8.25,3.72,4.19,0.82,0.4729,1.643
10-Jun-87,-0.829503879,-0.834226973,-0.844413305,-0.671434484,-0.360370958,-0.894285782,-0.404619279,5.5,10,8.25,3.72,4.19,0.82,0.4739,1.659
17-Jun-87,-0.800116949,-0.609194921,-0.809556455,-0.607991217,0.172768067,-0.867643533,-0.556340021,5.5,10,8.25,3.72,4.19,0.82,0.4715,1.63
24-Jun-87,-0.788600597,-0.16462917,-0.799821231,-0.643906223,-0.051523286,-0.833224273,-0.409548336,5.5,10,8.25,3.72,4.19,0.82,0.4734,1.6245
01-Jul-87,-0.798799076,-0.701637696,-0.818436879,-0.657917022,-0.786238034,-0.814097622,-0.509360784,5.5,10,8.25,3.9,4.41,1.29,0.4722,1.6175
08-Jul-87,-0.769155133,-0.716479551,-0.793030319,-0.571977543,-0.421916207,-0.656683972,-0.467025277,5.5,10,8.25,3.9,4.41,1.29,0.471,1.6182
15-Jul-87,-0.758344199,-0.368499236,-0.782915184,-0.510507628,-0.477479827,-0.55370939,-0.215128248,5.5,10,8.25,3.9,4.41,1.29,0.4735,1.637
