TotRet1D,PriceRet1D,PriceRet10D,PriceRet20D,PriceRet50D,PriceRet100D,PriceRet200D,PriceClose,PriceOpen,PriceHigh,PriceLow,PriceHigh52W,PriceLow52W,VWAP,VolumeDaily,Short Interest,MA10,MA20,MA50,MA100,MA200,DividendPS,SharesOutstanding,SharesLessCloselyHeld,CloselyHeldShares(%),MarketValue,EPSMeanFY1,EPSMeanFY2,EPSMeanFY3,EPSMeanFY1Last3M,EPSMeanFY1Last6M,EBITDAMeanFY1,EBITDAMeanFY2,EBITDAMeanFY3,EBITDAMeanFY1Last3M,EBITDAMeanFY1Last6M,FCFPSMeanFY1,FCFPSMeanFY2,FCFPSMeanFY3,FCFPSMeanFY1Last3M,FCFPSMeanFY1Last6M,DPSMeanFY1,DPSMeanFY2,DPSMeanFY3,DPSMeanFY1Last3M,DPSMeanFY1Last6M,BPSMeanFY1,BPSMeanFY2,BPSMeanFY3,BPSMeanFY1Last3M,BPSMeanFY1Last6M,SalesPSMeanFY1,SalesPSMeanFY2,SalesPSMeanFY3,SalesPSMeanFY1Last3M,SalesPSMeanFY1Last6M,EPSMeanStdFY1,EPSMeanStdFY2,EPSMeanStdFY3,EBITDAMeanStdFY1,EBITDAMeanStdFY2,EBITDAMeanStdFY3,Earnings FY1 UpDngrade(3M),Earnings FY2 UpDngrade(3M),Earnings FY3 UpDngrade(3M),Earnings FY1 UpDngrade(6M),Earnings FY2 UpDngrade(6M),Earnings FY3 UpDngrade(6M),EBITDA FY1 UpDngrade(3M),EBITDA FY2 UpDngrade(3M),EBITDA FY3 UpDngrade(3M),EBITDA FY1 UpDngrade(6M),EBITDA FY2 UpDngrade(6M),EBITDA FY3 UpDngrade(6M),EPS FY1 Analyst Coverage,EV_EBITMeanF12M,EV_EBITDAMeanF12M,EV_FCFMeanF12M,EV_SalesMeanF12M,EPS_LTGMean,PEGMean,GrossMarginF12M,EBITDAMarginMeanF12M,EBITMarginMeanF12M,NetMarginMeanF12M,ROICMean,AssetTurnMeanF12M,NetdebtEbitdaMeanF12M,Capex_SalesMeanF12M,EPSPast,FCFPSPast,SalesPSPast,EV_EBIT(12M),EV_EBITDA(12M),Payout,ROIC(1Y),CashFlowROIC(1Y),InvestedCapitalPS,CapexPS,DebtCapital,DebtTotalAssets,DebtEBITDA,CashFlowOpsPS,CashFlowInvPS,CashFlowFinPS,CashDivCashFlow,NetCashTotalDebt,ShareRepurchaseAmtANN,ShareRepurchaseAmtQTR,ShareSalesAmtANN,ShareSalesAmtQTR,NumInsiderBuy,NumInsiderSales,NumShsBuy,NumShsSold,SharesChg3M,SharesChg6M,SharesChg12M,FERating,Date,EPSMeanLTMSlope(6M),EPSPastSlope(6M),EPSPastSlope(12M),EPSPastSlope(36M),EPSPastSlope(60M),EPSPastSlopeStd(36M),EPSPastSlopeStd(60M),SalesPSPastSlope(6M),SalesPSPastSlope(12M),SalesPSPastSlope(36M),SalesPSPastSlope(60M),SalesPSPastSlopeStd(36M),SalesPSPastSlopeStd(60M),NetMarginPastSlope(12M),NetMarginPastSlope(36M),PriceSlope20D,PriceSlope50D,PriceSlope100D,PriceSlope200D,PriceSlopeStd20D,PriceSlopeStd50D,PriceSlopeStd100D,PriceSlopeStd200D,MoneyFlow14D,MoneyFlow50D,MoneyFlow200D
-0.90,-0.90,4.00,2.60,2.40,-1.50,20.20,69.20,69.90,69.90,68.70,71.80,51.70,69.20,2774020.00,2.70,68.60,67.80,68.60,68.30,64.80,0.00,684.70,673.40,0.50,44568.60,4.30,4.70,5.00,4.27,3.80,7.00,7.50,7.90,6.90,6.40,4.00,5.20,#N/A,4.30,4.60,1.62,1.80,2.10,1.60,1.40,8.50,10.10,11.80,8.50,7.00,42.80,45.70,48.20,43.20,40.90,0.00,0.10,0.20,184.20,194.90,164.60,0.00,0.00,#N/A,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,24.00,9.20,8.10,11.90,1.30,9.70,1.70,32.50,16.30,14.30,10.00,#N/A,1.60,-1.60,1.50,3.80,4.10,41.50,10.00,8.60,38.70,63.60,106.10,6.10,0.60,0.00,0.00,0.00,5.90,-0.80,-3.80,25.80,12899551.50,2098.80,220.80,454.40,164.60,0.00,4.00,0.00,-164802.00,0.02,0.02,0.00,1.50,20121219.00,0.04,0.00,0.04,0.10,0.00,0.00,0.00,0.30,0.30,0.40,0.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,-0.70,2.90,6.80,15.40,0.80,0.60,0.90
2.00,2.00,4.50,6.90,21.50,13.20,26.30,52.90,52.30,53.00,51.80,59.90,39.10,52.50,99269.00,1.60,51.90,50.90,48.50,46.70,46.60,0.00,24.00,#N/A,#N/A,1267.50,3.30,3.90,#N/A,3.24,3.30,6.20,7.40,#N/A,6.10,6.10,2.50,2.00,#N/A,1.40,1.50,#N/A,#N/A,#N/A,#N/A,#N/A,26.50,28.90,#N/A,24.90,25.10,32.90,36.40,#N/A,32.80,33.30,0.20,0.50,#N/A,5.90,10.20,#N/A,#N/A,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,6.00,9.00,6.80,17.70,1.30,10.00,1.60,42.80,19.40,14.70,9.30,#N/A,0.90,-1.20,3.80,2.60,1.20,32.00,9.80,7.40,0.00,9.80,10.00,27.70,1.50,0.00,0.00,0.00,2.70,-5.90,-0.60,0.00,340900.00,25.00,0.00,13.30,4.70,0.00,4.00,0.00,-18598.00,0.01,0.01,0.00,1.30,20130124.00,-0.03,-0.10,-0.06,0.10,0.10,0.01,0.00,-0.30,0.00,0.50,0.30,0.00,0.00,-0.20,0.40,0.00,0.00,0.00,0.00,10.90,26.00,1.80,-2.10,1.00,2.00,1.20
0.60,0.60,4.40,6.00,7.70,-12.80,36.40,27.30,27.30,27.40,27.10,35.60,19.00,27.30,299500.00,9.40,26.80,26.10,25.90,27.40,27.30,0.00,56.00,54.70,2.10,1531.60,1.50,1.90,2.30,1.41,1.40,2.70,3.40,4.20,2.60,2.60,1.20,1.70,2.40,1.30,1.00,#N/A,#N/A,#N/A,#N/A,#N/A,3.50,5.50,8.20,3.60,3.70,16.90,20.00,22.90,16.80,16.40,0.10,0.10,0.10,2.70,10.20,8.60,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,7.80,6.90,14.10,1.20,24.10,0.80,64.40,16.90,14.90,9.60,#N/A,2.30,-1.20,4.40,1.40,1.20,15.90,13.00,11.40,0.00,54.20,76.40,3.40,0.80,0.10,0.00,0.00,2.00,-1.60,-0.20,0.00,114157.00,34.90,10.80,5.10,1.90,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,1.30,20130124.00,0.05,0.00,0.04,0.00,0.00,0.01,0.00,0.30,0.30,0.10,-0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,5.00,-1.20,-12.00,0.10,1.40,1.10,1.00
-1.00,-1.00,1.80,0.80,-4.90,0.30,-19.50,13.20,12.00,13.30,11.90,23.10,11.80,12.60,16856790.00,25.30,13.00,12.90,13.40,13.20,14.50,0.00,78.30,67.70,16.20,1036.30,0.70,0.90,1.00,0.96,1.30,2.20,2.50,2.70,2.40,3.00,0.80,0.90,1.10,1.00,1.50,0.00,0.00,0.00,0.00,0.00,6.00,6.70,7.70,7.50,8.00,30.60,31.40,32.70,29.90,30.70,0.10,0.10,0.10,13.80,20.70,24.80,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,20.00,6.10,3.80,9.80,0.30,10.70,1.80,27.40,7.80,5.00,3.00,#N/A,3.10,-1.50,3.10,0.80,1.40,29.90,8.00,4.90,0.00,15.60,45.10,5.20,0.80,0.00,0.00,0.00,2.20,-0.80,-0.50,0.00,89234.50,100.10,40.80,1.50,0.00,#N/A,#N/A,#N/A,#N/A,-0.04,-0.04,0.00,1.60,20121128.00,-0.05,0.00,-0.07,-0.10,0.00,0.01,0.00,0.00,0.00,0.30,0.30,0.00,0.00,-0.30,-0.30,0.00,0.00,0.00,0.00,-2.30,-2.50,-4.20,-23.00,0.50,0.90,0.90
0.30,0.30,-3.90,-1.70,-5.00,-15.80,-6.10,20.20,20.20,20.30,20.10,25.40,18.20,20.20,265259.00,7.70,20.20,20.30,20.60,21.40,22.10,0.00,57.20,42.70,25.60,1155.50,1.10,1.20,1.30,1.11,1.10,1.70,1.90,2.20,1.70,1.80,1.20,1.20,1.20,1.20,1.30,0.00,0.00,0.00,0.00,0.00,5.70,7.00,8.90,5.40,5.30,8.60,9.50,10.10,8.60,8.50,0.00,0.00,0.10,1.10,5.90,0.90,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,-1.00,9.00,#N/A,#N/A,#N/A,#N/A,15.40,1.20,66.80,20.30,18.50,13.20,#N/A,1.20,#N/A,1.90,1.00,1.20,8.10,15.60,14.20,0.00,20.10,27.00,5.40,0.20,0.00,0.00,0.00,1.40,-0.90,-1.10,0.00,63448.80,26.30,0.00,1.60,0.60,0.00,1.00,0.00,-46000.00,0.00,0.00,0.00,1.90,20130214.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.00,0.00,-0.20,-0.20,0.00,0.00,0.00,0.00,-2.30,-6.80,-12.50,0.90,1.00,0.70,0.80
1.80,1.80,-2.80,-3.00,-5.00,-4.00,3.00,55.80,55.00,56.00,53.80,61.90,40.50,54.80,411267.00,13.40,56.10,56.40,57.40,57.60,56.90,0.00,29.40,22.60,25.20,1642.20,2.10,2.40,2.90,2.02,2.00,4.30,5.00,5.90,4.20,4.10,1.80,2.30,#N/A,2.50,1.40,0.00,0.00,0.00,0.00,0.00,14.70,17.00,20.10,14.20,13.90,32.50,37.50,41.80,32.40,32.20,0.00,0.10,0.10,2.10,4.00,2.80,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,15.00,12.40,10.20,27.80,1.40,19.50,1.40,35.10,13.40,11.00,6.70,#N/A,1.60,-0.80,3.20,2.00,1.60,31.30,16.50,13.60,0.00,15.40,19.30,14.40,0.90,0.00,0.00,0.00,2.50,-0.90,0.10,0.00,36762.30,0.00,0.00,12.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,20130226.00,0.05,0.10,0.06,0.00,0.00,0.00,0.00,0.30,0.30,0.10,0.20,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,-3.20,-3.20,0.50,17.60,0.40,0.60,1.20
-0.90,-0.90,0.90,2.10,3.40,14.30,19.90,33.10,33.60,33.60,32.90,35.10,23.20,33.10,163399.00,2.40,33.40,32.90,32.70,31.30,29.40,0.00,48.30,#N/A,#N/A,1599.10,0.80,1.20,1.50,0.86,1.10,2.00,2.50,#N/A,2.00,2.50,0.30,0.60,#N/A,0.60,0.70,0.50,0.50,#N/A,0.50,0.50,15.00,15.70,#N/A,15.20,15.50,13.50,14.60,#N/A,13.60,14.40,0.00,0.10,#N/A,5.30,8.70,#N/A,0.00,0.00,#N/A,0.00,0.00,#N/A,0.00,0.00,#N/A,0.00,0.00,#N/A,6.00,#N/A,#N/A,#N/A,#N/A,15.50,2.60,43.80,17.00,13.00,7.80,#N/A,0.80,#N/A,4.20,0.90,0.50,13.30,17.10,12.40,58.80,5.30,8.70,16.20,0.40,0.00,0.00,0.00,1.40,-2.40,-0.50,30.50,35077.70,0.00,0.00,4.90,2.70,0.00,1.00,0.00,-50000.00,0.00,0.00,0.00,1.80,20130207.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,-0.10,0.00,0.00,-0.10,0.10,0.00,0.00,0.00,0.00,1.90,8.70,24.70,6.40,0.60,1.30,1.20
-0.20,-0.20,3.90,5.30,14.10,-2.70,39.50,52.90,53.40,53.40,52.70,55.00,36.90,53.00,26622.00,7.40,52.20,51.40,49.80,50.40,48.60,0.00,15.70,#N/A,#N/A,831.10,4.10,4.60,#N/A,3.76,3.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17.10,20.20,#N/A,15.60,16.00,36.60,38.50,#N/A,34.20,33.80,0.20,0.40,#N/A,#N/A,#N/A,#N/A,#N/A,-1.00,-1.00,0.00,0.00,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.70,#N/A,16.70,11.20,#N/A,1.20,#N/A,3.60,3.20,2.10,33.70,8.80,7.60,32.70,23.60,29.70,14.40,1.00,0.10,0.10,0.00,4.00,-1.00,-4.60,23.00,28271.70,35.30,0.00,17.90,0.80,0.00,0.00,0.00,0.00,-0.03,-0.02,0.00,1.00,20130131.00,0.04,0.00,-0.01,0.10,0.00,0.01,0.00,0.40,0.30,0.40,0.10,0.00,0.00,-0.20,0.30,0.00,0.00,0.00,0.00,10.40,5.60,-4.80,10.30,2.60,1.50,1.20
-2.40,-2.40,0.20,3.70,1.00,-15.20,-17.90,35.80,36.80,37.20,35.60,59.70,32.00,36.00,59992.00,2.50,36.40,35.70,35.30,37.00,38.30,0.00,17.00,16.70,1.50,606.90,1.30,1.60,1.80,1.59,2.10,2.10,2.60,3.30,2.70,3.40,0.90,4.40,#N/A,1.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16.30,17.80,#N/A,16.40,#N/A,15.50,16.90,19.00,16.80,18.10,0.10,0.20,#N/A,1.60,2.80,#N/A,-1.00,-1.00,#N/A,-1.00,-1.00,#N/A,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,6.00,9.90,8.40,7.60,1.30,#N/A,#N/A,55.20,15.60,13.30,9.80,#N/A,0.70,-5.00,1.70,1.40,1.10,15.80,16.90,12.90,0.00,9.60,9.10,16.10,0.30,0.00,0.00,0.00,1.40,-0.30,0.50,0.00,27817.90,0.00,0.00,6.20,0.10,#N/A,#N/A,#N/A,#N/A,0.00,0.00,0.00,1.80,20130227.00,-0.10,0.00,0.04,0.10,0.00,0.00,0.00,0.10,0.20,0.20,0.10,0.00,0.00,0.20,0.50,0.00,0.00,0.00,0.00,6.00,4.20,-10.30,-21.40,1.10,1.20,0.80
-0.40,-0.40,5.30,5.70,3.60,-5.10,7.40,46.50,46.80,46.90,46.10,51.90,35.70,46.40,1105906.00,3.20,45.60,44.90,44.20,45.70,45.60,0.00,140.90,137.60,1.00,6553.50,1.90,2.20,2.60,1.86,1.80,3.70,4.30,4.90,3.70,3.60,1.30,1.60,1.80,1.30,1.40,0.33,0.40,0.40,0.30,0.30,7.90,9.20,12.10,8.20,8.60,33.10,36.50,40.20,33.00,32.70,0.00,0.00,0.10,4.90,10.60,17.30,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,26.00,12.50,10.40,26.40,1.20,17.60,1.40,33.80,11.70,9.70,6.10,#N/A,2.60,-0.50,2.90,1.80,0.60,31.90,16.70,13.80,17.60,26.80,30.00,15.20,2.40,0.10,0.10,0.00,2.10,-2.20,-2.40,13.20,23151.40,278.60,114.80,26.60,3.90,0.00,0.00,0.00,0.00,-0.01,-0.02,0.00,1.40,20130130.00,0.03,0.00,0.04,0.00,0.00,0.00,0.00,0.30,0.40,0.30,0.20,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,7.00,-1.30,-13.40,-2.10,1.10,0.90,1.00
