Version,ModelName,Sector,ForYear,ForMonth,Accuracy,Sensitivity,Specificity,Precision,Top10SecurityIds
03:11.8,AdaBoost,Health Care,2004,12,63.291139,68.292683,73.684211,63.636364,"493,593,71,544,1,129,146,161,196,20,"
03:17.7,AdaBoost,Health Care,2005,1,50.632911,52.631579,48.780488,48.780488,"22,317,359,453,877,764,129,146,161,196,"
03:21.3,AdaBoost,Health Care,2005,2,50.632911,51.282051,50,50,"161,196,365,439,64,844,885,435,129,1,"
03:24.8,AdaBoost,Health Care,2005,3,48.101266,39.534884,47.222222,53.125,"544,308,1,129,161,20,228,231,268,290,"
03:28.8,AdaBoost,Health Care,2005,4,51.898734,54.054054,47.619048,48.780488,"388,439,64,71,877,375,435,1,129,161,"
03:32.2,AdaBoost,Health Care,2005,5,56.962025,60,47.727273,51.219512,"241,439,71,740,6,1,129,146,161,20,"
03:35.9,AdaBoost,Health Care,2005,6,36.708861,40.540541,35.714286,34.883721,"474,558,868,129,161,196,20,228,231,268,"
03:39.7,AdaBoost,Health Care,2005,7,45.679012,42.5,41.463415,44.736842,"20,30,129,146,161,228,241,268,290,293,"
03:43.2,AdaBoost,Health Care,2005,8,49.382716,47.619048,51.282051,51.282051,"453,516,60,868,1,146,161,196,20,231,"
03:47.0,AdaBoost,Health Care,2005,9,50.617284,58.974359,54.761905,48.93617,"388,453,868,493,848,92,129,146,161,167,"
03:53.6,AdaBoost,Health Care,2005,10,53.08642,52.380952,56.410256,55,"129,435,60,818,454,146,161,167,20,228,"
03:57.1,AdaBoost,Health Care,2005,11,48.148148,51.351351,43.181818,44.186047,"34,359,453,474,499,588,665,672,129,146,"
04:00.6,AdaBoost,Health Care,2005,12,46.91358,51.351351,43.181818,43.181818,"317,470,599,71,268,129,146,167,231,290,"
04:04.2,AdaBoost,Health Care,2006,1,54.320988,55.813953,63.157895,57.142857,"30,34,558,599,71,129,20,228,268,290,"
04:07.8,AdaBoost,Health Care,2006,2,46.91358,54.054054,45.454545,43.478261,"580,499,818,868,672,55,231,268,670,1,"
04:11.3,AdaBoost,Health Care,2006,3,43.209877,47.619048,51.282051,45.454545,"499,71,818,868,87,375,1,129,146,161,"
04:15.0,AdaBoost,Health Care,2006,4,58.024691,60.869565,80,63.636364,"293,365,418,425,667,71,593,844,129,146,"
04:18.6,AdaBoost,Health Care,2006,5,49.382716,51.219512,52.5,50,"196,39,425,454,516,667,167,129,146,20,"
04:22.7,AdaBoost,Health Care,2006,6,48.148148,50,72.727273,57.142857,"196,290,71,810,818,129,146,161,20,231,"
04:26.1,AdaBoost,Health Care,2006,7,44.444444,47.5,46.341463,44.186047,"418,810,6,146,161,20,231,246,290,317,"
04:29.8,AdaBoost,Health Care,2006,8,41.975309,43.589744,40.47619,40.47619,"355,454,665,68,71,720,868,474,246,129,"
04:33.5,AdaBoost,Health Care,2006,9,53.08642,52.5,51.219512,52.5,"355,558,665,86,844,129,146,161,167,196,"
04:37.0,AdaBoost,Health Care,2006,10,53.08642,60.526316,53.488372,50,"454,599,619,665,730,794,868,818,129,146,"
04:41.0,AdaBoost,Health Care,2006,11,56.790123,57.142857,61.538462,58.536585,"22,388,470,818,60,268,129,146,161,20,"
04:44.6,AdaBoost,Health Care,2006,12,45.679012,43.243243,36.363636,41.025641,"161,86,593,268,129,146,196,228,231,246,"
04:48.1,AdaBoost,Health Care,2007,1,64.197531,62.790698,71.052632,67.5,"196,241,665,733,818,87,129,146,161,167,"
04:51.8,AdaBoost,Health Care,2007,2,44.444444,46.153846,42.857143,42.857143,"161,231,740,268,129,146,20,22,228,290,"
04:55.2,AdaBoost,Health Care,2007,3,44.444444,46.153846,42.857143,42.857143,"161,463,129,146,20,228,268,271,290,30,"
04:58.9,AdaBoost,Health Care,2007,4,51.851852,50,48.780488,51.282051,"231,844,499,129,146,161,196,20,228,246,"
