"","Date","SecId","output","bin.output","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type"
"1",2013-12-02,109,-3.8765967,"0","0","0","0","0",0.926047689059383,0.0739523109406168,0,0.954,0.046,0.999833099311451,0.000166900688549338,0,0,0.0300298029072915,0,"test"
"2",2013-12-02,111,11.517644,"1","1","1","1","1",0.05818930444891,0.94181069555109,1,0.09,0.91,0.00366508521638456,0.996334914783615,4,1,0.962036402583676,1,"test"
"3",2013-12-02,12,5.596113,"1","0","1","1","0",0.833108789871964,0.166891210128036,1,0.33,0.67,0.518764258557884,0.481235741442116,2,0,0.579531737892538,1,"test"
"4",2013-12-02,121,7.2209716,"1","1","1","1","0",0.142583787489978,0.857416212510022,1,0.274,0.726,0.704471108674925,0.295528891325075,3,1,0.719736275958774,1,"test"
"5",2013-12-02,141,1.2679338,"0","0","0","0","0",0.970757824627788,0.0292421753722116,0,0.932,0.068,0.999386791033561,0.000613208966439374,0,0,0.0244638460846628,0,"test"
"6",2013-12-02,154,1.1142492,"0","0","0","0","0",0.942211547958886,0.0577884520411144,0,0.982,0.018,0.999913094649453,8.69053505468397e-05,0,0,0.0189688393479153,0,"test"
"7",2013-12-02,197,-1.3636351,"0","0","0","0","0",0.986172237449411,0.0138277625505889,0,0.996,0.004,0.999893963514724,0.000106036485275666,0,0,0.00448344975896615,0,"test"
"8",2013-12-02,200,10.422444,"1","1","1","1","1",0.0334252886589028,0.966574711341097,1,0.078,0.922,0.00300464012783153,0.996995359872168,4,1,0.971392517803316,1,"test"
"9",2013-12-02,226,-1.7616391,"0","0","0","0","0",0.895154048265194,0.104845951734806,0.004688782391679,0.904,0.096,0.995117417332805,0.00488258266719554,0,0,0.0526043291984202,0,"test"
"10",2013-12-02,230,0.18546581,"0","0","0","0","0",0.95294064896686,0.0470593510331396,0,0.972,0.028,0.99993905050418,6.09494958194986e-05,0,0,0.0187800751322398,0,"test"
"11",2013-12-02,251,-0.09815097,"0","0","0","0","0",0.911390075905877,0.0886099240941229,0,0.966,0.034,0.999917428592866,8.25714071341691e-05,0,0,0.0306731238753143,0,"test"
"12",2013-12-02,255,-1.8970728,"0","0","0","0","0",0.986718752076385,0.0132812479236154,0,0.99,0.01,0.999779015427403,0.000220984572596698,0,0,0.00587555812405303,0,"test"
"13",2013-12-02,258,2.379191,"0","0","0","0","0",0.990392980529064,0.00960701947093612,0,0.99,0.01,0.99994293620955,5.70637904503365e-05,0,0,0.00491602081534661,0,"test"
"14",2013-12-02,260,-6.1045113,"0","0","1","0","0",0.749479424179612,0.250520575820388,1,0.836,0.164,0.985988076642467,0.0140119233575332,1,0,0.35713312479448,0,"test"
"15",2013-12-02,261,1.659441,"0","0","0","0","0",0.962991414012192,0.0370085859878082,0,0.942,0.058,0.999538433948188,0.000461566051811584,0,0,0.0238675380099049,0,"test"
"16",2013-12-02,275,-1.0156274,"0","0","0","0","0",0.970715774559846,0.0292842254401536,0,0.902,0.098,0.997270255612229,0.00272974438777073,0,0,0.0325034924569811,0,"test"
"17",2013-12-02,292,4.1297913,"1","0","0","1","0",0.873141226837063,0.126858773162937,0,0.462,0.538,0.503018076189311,0.496981923810689,1,0,0.290460174243407,0,"test"
"18",2013-12-02,297,-1.7362714,"0","0","0","0","0",0.963379905073899,0.0366200949261006,0,0.974,0.026,0.99950879364762,0.000491206352380195,0,0,0.0157778253196202,0,"test"
"19",2013-12-02,298,0.11621714,"0","0","0","0","0",0.952262837799453,0.047737162200547,0,1,0,0.999931895547944,6.81044520560892e-05,0,0,0.0119513166631508,0,"test"
"20",2013-12-02,303,10.60878,"1","1","1","1","1",0.0509918174362041,0.949008182563796,1,0.186,0.814,0.0280161884249796,0.97198381157502,4,1,0.933747998534704,1,"test"
"21",2013-12-02,304,3.2822251,"1","0","0","0","0",0.978879645504104,0.0211203544958959,0,0.976,0.024,0.999870832845247,0.000129167154752537,0,0,0.0113123804126621,0,"test"
"22",2013-12-02,357,-1.0262549,"0","0","0","0","0",0.977359947671981,0.0226400523280186,0,0.982,0.018,0.999767540981811,0.000232459018189302,0,0,0.010218127836552,0,"test"
"23",2013-12-02,361,-2.88679,"0","0","0","0","0",0.976299948771655,0.0237000512283451,0,0.984,0.016,0.999916915697974,8.30843020262739e-05,0,0,0.00994578388259284,0,"test"
"24",2013-12-02,368,1.597476,"0","0","0","0","0",0.860894399358831,0.139105600641169,0,0.88,0.12,0.999377314053487,0.000622685946513021,0,0,0.0649320716469205,0,"test"
"25",2013-12-02,386,-0.41832328,"0","0","0","0","0",0.98076524357285,0.0192347564271504,0,0.924,0.076,0.998094775332276,0.00190522466772367,0,0,0.0242849952737185,0,"test"
"26",2013-12-02,407,-1.2954831,"0","0","0","0","0",0.91919317932071,0.0808068206792896,0,0.966,0.034,0.999880725707301,0.000119274292698579,0,0,0.028731523742997,0,"test"
"27",2013-12-02,421,-1.137805,"0","0","0","0","0",0.925393142466253,0.0746068575337465,0,0.916,0.084,0.996699778600635,0.00330022139936552,0,0,0.040476769733278,0,"test"
"28",2013-12-02,424,-6.863034,"0","0","0","0","0",0.912821225150794,0.0871787748492062,0,0.968,0.032,0.999773279254847,0.000226720745153218,0,0,0.0298513738985899,0,"test"
"29",2013-12-02,427,7.1534634,"1","1","1","1","1",0.0722414877875521,0.927758512212448,1,0.2,0.8,0.0644299665570482,0.935570033442952,4,1,0.91583213641385,1,"test"
"30",2013-12-02,429,4.1164517,"1","0","0","1","1",0.885845396506394,0.114154603493606,0,0.466,0.534,0.239390670358921,0.760609329641079,2,0,0.352190983283671,0,"test"
"31",2013-12-02,444,1.8879414,"0","1","1","1","1",0.0387963926351372,0.961203607364863,1,0.244,0.756,0.0549848616874478,0.945015138312552,4,1,0.915554686419354,1,"test"
"32",2013-12-02,473,-2.1631777,"0","0","0","0","0",0.886334226351298,0.113665773648702,0,0.89,0.11,0.994283607550414,0.00571639244958625,0,0,0.057345541524572,0,"test"
"33",2013-12-02,478,2.0109415,"0","0","1","0","0",0.900934623488192,0.0990653765118085,0.999942919260565,0.836,0.164,0.976432147685453,0.0235678523145467,1,0,0.32164403702173,0,"test"
"34",2013-12-02,483,-3.1030595,"0","0","0","0","0",0.944380371982048,0.0556196280179523,0,0.954,0.046,0.999098811320297,0.000901188679702599,0,0,0.0256302041744137,0,"test"
"35",2013-12-02,49,-3.0951083,"0","0","0","0","0",0.608979062270739,0.391020937729261,0.0666344221509668,0.914,0.086,0.999089868991705,0.000910131008294817,0,0,0.136141372722131,0,"test"
"36",2013-12-02,565,0.27230978,"0","0","0","0","0",0.984856195914978,0.0151438040850225,0,0.98,0.02,0.999933281997825,6.67180021749879e-05,0,0,0.00880263052179937,0,"test"
"37",2013-12-02,606,-4.9751225,"0","0","0","0","0",0.920875635926951,0.0791243640730487,0,0.996,0.004,0.999859016425444,0.000140983574555853,0,0,0.0208163369119011,0,"test"
"38",2013-12-02,62,1.4362454,"0","0","0","0","0",0.896259860596287,0.103740139403713,0,0.862,0.138,0.999132197867476,0.000867802132524421,0,0,0.0606519853840595,0,"test"
"39",2013-12-02,620,-1.5731573,"0","0","0","0","0",0.979017029711011,0.0209829702889891,0,0.99,0.01,0.999822703414978,0.000177296585022244,0,0,0.00779006671850284,0,"test"
"40",2013-12-02,638,-1.287359,"0","0","0","0","0",0.89992097183687,0.10007902816313,0,0.982,0.018,0.999603512885236,0.000396487114763724,0,0,0.0296188788194734,0,"test"
"41",2013-12-02,655,11.646784,"1","1","1","1","1",0.0253284001688447,0.974671599831155,0.903559336864473,0.186,0.814,0.00643287574025463,0.993567124259745,4,1,0.921449515238843,1,"test"
"42",2013-12-02,685,-1.3828874,"0","0","0","0","0",0.952405489585414,0.0475945104145863,0,0.856,0.144,0.998934964739252,0.00106503526074793,0,0,0.0481648864188335,0,"test"
"43",2013-12-02,713,2.262187,"0","0","0","0","0",0.909274800041661,0.0907251999583389,0,0.95,0.05,0.996524976983325,0.00347502301667511,0,0,0.0360500557437535,0,"test"
"44",2013-12-02,76,2.3072362,"0","0","0","0","0",0.96234178907489,0.0376582109251096,0,0.954,0.046,0.999883430763832,0.000116569236168052,0,0,0.0209436950403194,0,"test"
"45",2013-12-02,779,-3.2403708,"0","0","0","0","0",0.932775006656443,0.0672249933435566,4.93823283899953e-07,0.872,0.128,0.999016285687675,0.000983714312325045,0,0,0.0490523003697914,0,"test"
"46",2013-12-02,83,3.8597345,"1","0","0","0","0",0.940251473904266,0.0597485260957337,0,0.71,0.29,0.99460618689153,0.00539381310847029,0,0,0.088785584801051,0,"test"
"47",2013-12-02,832,13.023257,"1","1","1","1","1",0.0888318434296398,0.91116815657036,1,0.064,0.936,0.00649684944292861,0.993503150557071,4,1,0.960167826781858,1,"test"
"48",2013-12-02,866,9.785938,"1","1","1","1","1",0.0535795169089076,0.946420483091092,1,0.214,0.786,0.0017114737136725,0.998288526286328,4,1,0.932677252344355,1,"test"
"49",2013-12-02,895,8.156538,"1","1","1","1","0",0.119785746886302,0.880214253113698,1,0.286,0.714,0.516722129028881,0.483277870971119,3,1,0.769373031021204,1,"test"
"50",2013-12-02,94,-0.24476647,"0","0","0","0","0",0.99130694357675,0.00869305642324958,0,0.996,0.004,0.999945683258957,5.43167410430932e-05,0,0,0.00318684329107317,0,"test"
"51",2013-12-02,95,-0.5681217,"0","0","0","0","0",0.938687777897603,0.0613122221023968,0,0.972,0.028,0.999823709793062,0.000176290206938071,0,0,0.0223721280773337,0,"test"
"52",2013-12-03,109,-3.2121718,"0","0","1","0","0",0.928694027145949,0.0713059728540514,0.998863215493609,0.898,0.102,0.999600750489646,0.000399249510354071,1,0,0.293142109464504,0,"test"
"53",2013-12-03,111,8.091903,"1","1","1","1","1",0.112142047202144,0.887857952797856,0.999996739944736,0.158,0.842,0.0168532592990376,0.983146740700962,4,1,0.928250358360889,1,"test"
"54",2013-12-03,12,4.0019274,"1","0","1","1","1",0.814022120136998,0.185977879863002,0.99996541682587,0.434,0.566,0.386727366067573,0.613272633932427,3,1,0.591303982655325,1,"test"
"55",2013-12-03,121,8.242583,"1","1","0","1","0",0.133697751365703,0.866302248634297,0,0.238,0.762,0.854136574737166,0.145863425262834,2,0,0.443541418474283,0,"test"
"56",2013-12-03,141,0.18507242,"0","0","0","0","0",0.976218996011021,0.0237810039889793,0,0.95,0.05,0.999698133918703,0.000301866081297294,0,0,0.0185207175175692,0,"test"
"57",2013-12-03,154,3.03694,"0","0","0","0","0",0.93908601877266,0.0609139812273398,0,0.942,0.058,0.999449264357178,0.00055073564282221,0,0,0.0298661792175405,0,"test"
"58",2013-12-03,197,-1.5775979,"0","0","0","0","0",0.988019175975703,0.0119808240242967,0,0.996,0.004,0.999907346222079,9.26537779206528e-05,0,0,0.00401836945055433,0,"test"
"59",2013-12-03,200,7.83726,"1","1","1","1","1",0.0509378837516243,0.949062116248376,1,0.152,0.848,0.0096533967258264,0.990346603274174,4,1,0.946852179880637,1,"test"
"60",2013-12-03,226,-1.5689731,"0","0","0","0","0",0.892912467149695,0.107087532850305,3.99427028541304e-05,0.904,0.096,0.996718835059724,0.00328116494027567,0,0,0.0516021601233588,0,"test"
"61",2013-12-03,230,0.5065203,"0","0","0","0","0",0.959137056749362,0.0408629432506383,2.50899517745374e-06,0.98,0.02,0.999956795390721,4.32046092788226e-05,0,0,0.0152271642137737,0,"test"
"62",2013-12-03,251,0.27914047,"0","0","0","0","0",0.92474381172011,0.0752561882798897,0,0.972,0.028,0.999954986422334,4.50135776661508e-05,0,0,0.0258253004643889,0,"test"
"63",2013-12-03,255,0.24952888,"0","0","0","0","0",0.980028277143104,0.0199717228568959,0,0.974,0.026,0.999811328925346,0.000188671074653863,0,0,0.0115400984828874,0,"test"
"64",2013-12-03,258,2.3284674,"0","0","0","0","0",0.993615600471812,0.00638439952818848,0,0.992,0.008,0.999957793284533,4.22067154671977e-05,0,0,0.00360665156091392,0,"test"
"65",2013-12-03,260,-4.7928753,"0","0","0","0","0",0.881288278602639,0.118711721397361,0.00141705575972303,0.832,0.168,0.998112054456692,0.00188794554330755,0,0,0.0725041806750978,0,"test"
"66",2013-12-03,261,2.082932,"0","0","0","0","0",0.963341180300231,0.0366588196997694,0,0.914,0.086,0.999468439678268,0.000531560321731564,0,0,0.0307975950053752,0,"test"
"67",2013-12-03,275,-0.58846474,"0","0","0","0","0",0.974701740853453,0.0252982591465466,0,0.914,0.086,0.998381482821656,0.00161851717834436,0,0,0.0282291940812227,0,"test"
"68",2013-12-03,292,3.0055404,"0","0","0","0","0",0.925729576658646,0.074270423341354,0,0.816,0.184,0.993476521922724,0.00652347807727585,0,0,0.0661984753546575,0,"test"
"69",2013-12-03,297,-1.7593265,"0","0","0","0","0",0.972352918909135,0.0276470810908647,0,0.98,0.02,0.999729166674996,0.000270833325003791,0,0,0.0119794786039671,0,"test"
"70",2013-12-03,298,0.48111677,"0","0","0","0","0",0.94209158971789,0.05790841028211,0,0.974,0.026,0.999941471037981,5.85289620187136e-05,0,0,0.0209917348110322,0,"test"
"71",2013-12-03,303,8.44934,"1","1","0","1","1",0.110324826320587,0.889675173679413,7.96078122950132e-07,0.37,0.63,0.161722011933823,0.838277988066177,3,1,0.589488489455928,1,"test"
"72",2013-12-03,304,3.1157613,"0","0","0","0","0",0.987068919639938,0.0129310803600616,0,0.982,0.018,0.999879604977851,0.00012039502214933,0,0,0.00776286884555274,0,"test"
"73",2013-12-03,357,0.35088062,"0","0","0","0","0",0.978647151721683,0.0213528482783173,0,0.964,0.036,0.99985810727212,0.000141892727879725,0,0,0.0143736852515493,0,"test"
"74",2013-12-03,361,-2.3275256,"0","0","0","0","0",0.980824029496802,0.0191759705031977,0,0.986,0.014,0.999947827162098,5.21728379015654e-05,0,0,0.00830703583527483,0,"test"
"75",2013-12-03,368,1.4200807,"0","0","0","0","0",0.898909098764958,0.101090901235042,0,0.884,0.116,0.999589898819751,0.000410101180249123,0,0,0.0543752506038229,0,"test"
"76",2013-12-03,386,-1.2640715,"0","0","0","0","0",0.983016360500885,0.0169836394991152,0,0.922,0.078,0.998223449944063,0.00177655005593704,0,0,0.0241900473887631,0,"test"
"77",2013-12-03,407,-1.0787547,"0","0","0","0","0",0.928574911453032,0.0714250885469676,3.69143030770416e-06,0.95,0.05,0.999873181026051,0.000126818973949236,0,0,0.0303888997378061,0,"test"
"78",2013-12-03,421,-1.262629,"0","0","0","0","0",0.938031168300682,0.0619688316993177,0,0.9,0.1,0.998607860627852,0.00139213937214795,0,0,0.0408402427678664,0,"test"
"79",2013-12-03,424,-4.793918,"0","0","1","0","0",0.900665242637496,0.0993347573625037,1,0.968,0.032,0.999021785573185,0.000978214426815218,1,0,0.28307824294733,0,"test"
"80",2013-12-03,427,7.3446274,"1","1","1","1","1",0.063223468392945,0.936776531607055,0.999864043924128,0.288,0.712,0.0756135044630173,0.924386495536983,4,1,0.893256767767041,1,"test"
"81",2013-12-03,429,3.3308864,"1","0","0","0","0",0.967765899233548,0.0322341007664524,0,0.884,0.116,0.997177747543158,0.00282225245684139,0,0,0.0377640883058234,0,"test"
"82",2013-12-03,444,0.29975176,"0","1","0","0","1",0.0553719834771678,0.944628016522832,0,0.574,0.426,0.173175566623817,0.826824433376183,2,0,0.549363112474754,1,"test"
"83",2013-12-03,473,-0.2258122,"0","0","0","0","0",0.82832776905285,0.17167223094715,0,0.758,0.242,0.870266206785167,0.129733793214833,0,0,0.135851506040496,0,"test"
"84",2013-12-03,478,2.973652,"0","0","1","0","0",0.874502790842312,0.125497209157688,0.994755257063594,0.83,0.17,0.952894556576002,0.0471054434239982,1,0,0.33433947741132,0,"test"
"85",2013-12-03,483,-1.9072533,"0","0","0","0","0",0.936714231036239,0.0632857689637608,0,0.968,0.032,0.999264964528414,0.000735035471586379,0,0,0.0240052011088368,0,"test"
"86",2013-12-03,49,-3.2040536,"0","0","1","0","0",0.575335685118269,0.424664314881731,0.982412503862396,0.9,0.1,0.997991972594435,0.00200802740556546,1,0,0.377271211537423,0,"test"
"87",2013-12-03,565,0.37862062,"0","0","0","0","0",0.987932138327824,0.0120678616721764,0,0.98,0.02,0.999895011226615,0.000104988773384861,0,0,0.00804321261139033,0,"test"
