"FactSet Universal Screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","GICS","","GICS","","","","","","","","","52W High","52W Low","Volume","","Short","Divs","Issue","Issue","Cur Shr","% of","Sec","","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","","","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","","Enter-","Enter-","Price","","","","","Return","CF Ret","","","","Total","Total","","Repur","Repur","Sale of","Sale of","LST","LST","LST","LST","FE","","FE Guid","FE Guid","FE",""
"","","","","GICS","Ind","GICS","Sub","","","Simple","Price","Latest","","Daily","Daily","Intraday","Intraday","Weightd","","Intrest","Earned","Common","Common","Out -","Closely","Market","Split","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Eps","","","P_Salesps","P_Salesps","P_Salesps","Pbps","Ev_Ebit","Ev_Ebitda","Ev_Fcf","Ev_Sales","Eps_Ltg","Peg","Gross_Margin","Ebitda_Margin","Ebit_Margin","Net_Margin","Roic","Price","prise","prise","/ Free","Price","","","","on Avg","on Tot","Free","L T","Capital","Debt %","Debt%","Total","Cmn &","Cmn &","Com &","Com &","Num","Num","Num","Num","Rating","S&P","Eps","Fcfps","Eps","EPS"
"Company","","SEDOLCHK","ISIN","Sector","Group","Ind","Ind","EC","Trading","Tot Ret","Chg","Closing","Opening","High","Low","Price","Price","Average","Daily","%","Per Shr","Shares","Shares","Closely","Held","Value","Adjust","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Nest","","","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","/ Earns","Value","Value/","Cash","/Sales","Earns","Div","Div","Invest","Invest","Cash","Invest","Expend","Total","Total","Debt/","Pfd Stk","Pfd Stk","Pfd Stk","Pfd Stk","Insider","Insider","Shs","Shs","Mean","Rating","Mean","Mean","Mean","Report"
"Symbol","Company Name","Symbol","Symbol","Name","Name","Name","Name","DATEN","Day","(LOCAL)","(LOCAL)","Price","Price","Price","Price","(LOCAL)","(LOCAL)","Price","Volume","Out","(0)","Outstdg","Outstdg","Held Sh","Shares","(LOCAL)","Factor","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual","","","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Ratio","/EBIT","EBITDA","Flow","CFY","Yield","Yield","Payout","Capital","Capital","Flow","Capital","CF","Capital","Assets","EBITDA","CF","CF","CF","CF","Purch","Sales","Purch","Sold","Note","Text","Annual_Roll","Annual_Roll","Annual_Roll","Date"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A","Agilent Technologies, Inc.","2520153","US00846U1016","Health Care","Pharmaceuticals Biotechnology & Life Sciences","Life Sciences Tools & Services","Life Sciences Tools & Services","20010101.0","20010101.0","-0.77452064","-0.77452064","54.75","55.375","56.4375","53.625","61.22","40.19","42","0.0","0.5629838","0.0","453.015","453.015","328.009671","0.279078378378","24802.572","0.0","2.346123","2.657053","42","1.0","1.0","42","1.0","0.0","42","1632.1521","1793.1428","1897.8633","2.0","0.0","0.0","0.0","0.0","0.0","42","42","42","42","42","42","42","42","42","15.0","-26.22473","-26.242287","1.9173006","1.6992035","42","42","42","42","42","42","42","42","42","15.839081","42","15.148636","42","27.8990963855","18.7953328678","12.865638942","1505.15625","1.93022486772","3.58434547908","0.0","0.0","14.3779677113","15.9164292498","14.0","5265.0","824.0","2.04651162791","1.3056379822","0.070108349267","0.0","0.0","84.0","-2028.0","42","42","42","42","1.375","B-","42","42","88.6368","20001120"
"AA","Alcoa Inc.","2021805","US0138171014","Materials","Materials","Metals & Mining","Aluminum","20010101.0","20010101.0","1.1814237","1.1814237","33.5","34.1875","34.5","33.375","12.32","7.63","42","0.0","11.080422","0.0","864.961","864.961","1065.645752","42","28976.193","0.5","1.913333","2.6575","2.565","0.0","0.0","0.0","3.0","2.0","0.0","2584.6343","3072.668","3064.5112","5.0","6.0","5.0","10.0","5.0","1.0","0.4075","0.315","0.315","0.0","0.0","0.0","0.0","0.0","0.0","17.0","359.0123","250.20027","1.08074","0.99115616","0.9867926","4.1330113","42","42","42","42","42","42","42","19.299553","13.978259","1.6686041","42","18.5082872928","11.9640842788","8.57555762082","15.9405780347","1.18920910359","5.40298507463","1.49253731343","27.6243093923","9.07428850021","17.3746114937","1730.0","16409.0","1121.0","41.5903860905","25.9583160448","1.88963754647","763.0","33.0","251.0","69.0","2.0","1.0","3905.0","-14665.0","1.7","B-","42","42","-2.463919","20010108"
"AAN","Aaron's, Inc.","2002918","US0025353006","Consumer Discretionary","Retailing","Specialty Retail","Homefurnishing Retail","20010101.0","20010101.0","-0.1860857","-0.1860857","3.9814813","4.12963","4.12963","3.9814813","30.45","26.18","42","0.0","9.615612","0.0","12.92625","3.83","67.561668","11.501500349","51.465622","0.6666667","0.414813","0.468142","42","0.0","0.0","42","0.0","0.0","42","278.17368","294.926","326.73224","0.0","0.0","0.0","7.0","7.0","3.0","0.011852","42","42","0.0","42","42","0.0","42","42","10.0","-78.75477","-80.89886","0.65773064","42","42","1.3753955","42","42","42","42","42","42","42","33.96414","42","5.9402924","42","9.80902020202","7.5302447007","2.0421624522","42","0.529703382958","10.1946981391","0.297627920543","2.91943828529","12.7801713024","77.8994594645","-137.176","213.307","317.614","33.4397252535","27.0935158032","0.573636662286","4.625","0.0","1.926","-0.848","0.0","0.0","0.0","0.0","1.5","A+","42","42","42","20010221"
"AAON","AAON, Inc.","2268130","US0003602069","Industrials","Capital Goods","Building Products","Building Products","20010101.0","20010101.0","-5.015379","-5.015379","2.3292184","2.3209877","2.4691358","2.3209877","34.27","14.966667","42","0.0","2.6583896","0.0","44.150063","5.814","20.7003975342","43.5782338746","102.835144","0.6666667","42","42","42","42","42","42","42","42","42","42","42","42","0.0","42","42","0.0","42","42","42","42","42","42","42","42","42","42","42","1.0","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","8.54445487894","5.90262613959","5.06067819073","33.1425954518","0.669007496892","11.703496761","0.0","0.0","29.847194681","32.7539951009","3.296","42.865","10.744","27.0340069","17.8512848551","0.564506833525","10.37","1.75","0.41","0.013","0.0","0.0","0.0","0.0","42","B+","42","42","42","20010214"
"AAP","Advance Auto Parts, Inc.","2822019","US00751Y1064","Consumer Discretionary","Retailing","Specialty Retail","Automotive Retail","20010101.0","20010101.0","-2.0215034","-2.0215034","42","42","42","42","120.31","72.14","42","42","2.4889088","0.0","72.832","72.832","72.239562","0.807452679776","42","0.6666667","42","42","42","42","42","42","42","42","42","885.61316","1114.8765","1260.215","1.0","5.0","4.0","0.0","1.0","1.0","42","42","42","42","42","42","42","42","42","21.0","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","6.222888","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","42","0.0","0.0","0.0","0.0","42","A","42","42","42","@NA"
"AAPL","Apple Inc.","2046251","US0378331005","Information Technology","Technology Hardware & Equipment","Computers & Peripherals","Computer Hardware","20010101.0","20010101.0","-1.135242","-1.135242","7.4375","7.34375","7.5","7.25","575.1358","385.1","42","0.0","1.7075557","0.0","671.764","335.882","891.693564","42","4996.245","0.5","0.706429","42","42","0.0","42","42","2.0","42","42","59175.22","62840.3","67461.2","6.0","4.0","0.0","10.0","15.0","6.0","42","42","42","0.0","42","42","0.0","42","42","51.0","-98.37261","-98.339066","0.50548255","42","42","42","42","42","42","42","42","42","42","28.903254","42","21.043156","42","11.8119266055","9.07635967742","7.99338494318","12.9045104312","1.04692797194","8.46601941748","0.0","0.0","17.835262083","18.7429090084","719.0","4407.0","107.0","6.8073519401","4.40981919741","0.426136363636","116.0","0.0","85.0","3.0","0.0","1.0","0.0","-3064.0","1.75","B+","42","42","-21.941544","20010215"
