X,RRC_DJI,RRC_DJV,RRC_S.P,RRC_FTSE,RRC_IMO_FTV,RRC_IMO_STI,RRC_IMO_STIV,SGPRIME,UKPRIME,USPRIME,IMO_SGINF,IMO_UKINF,IMO_USINF,SG.D,P.D,Velocity_sg,Velocity_uk
05-Nov-86,-1.078078813,-1.046987035,-1.086084297,-1.274984193,-1.146072079,-1.566071299,-0.675384217,5.5,12,7.5,-1.38,3.55,1.29,0.4558,1.4235,0.002413339,0.002458728
12-Nov-86,-1.080998913,-0.751455768,-1.085799364,-1.2652161,-1.152374116,-1.608071509,-0.775596888,5.5,12,7.5,-1.38,3.55,1.29,0.4569,1.427,0.000656599,-0.005746321
19-Nov-86,-1.117675159,-0.608903841,-1.128444392,-1.3145499,-1.377416554,-1.626871396,-0.783905815,5.5,12,7.5,-1.38,3.55,1.29,0.4572,1.4188,-0.000437445,0.004722301
26-Nov-86,-1.068388891,-0.323315926,-1.075684229,-1.286034964,-1.30176298,-1.63863494,-0.83207806,5.5,12,7.5,-1.38,3.55,1.29,0.457,1.4255,0,0.003858295
03-Dec-86,-1.051704945,-0.977529919,-1.051654847,-1.3038938,-1.329796539,-1.625281139,-0.847646527,5.5,12,7.5,-1.38,3.75,1.13,0.457,1.431,-0.000656455,-0.00349406
10-Dec-86,-1.059546564,-0.9215461,-1.06528416,-1.284653618,1.405907583,-1.633101717,-0.857414639,5.5,12,7.5,-1.38,3.75,1.13,0.4567,1.426,-0.001532735,0.002244039
17-Dec-86,-1.067541296,-0.662029932,-1.081430385,-1.282976268,0.817978909,-1.622623449,-0.875445719,5.5,12,7.5,-1.38,3.75,1.13,0.456,1.4292,0.001754386,0.019801287
24-Dec-86,-1.062854917,0.044687787,-1.085276986,-1.25456,-0.622087548,-1.595915847,-0.872425858,5.5,12,7.5,-1.38,3.75,1.13,0.4568,1.4575,0.010070053,0.017495712
31-Dec-86,-1.079768534,-1.447913325,-1.1070269,-1.240845203,-1.146072079,-1.619856838,-0.899543332,5.5,12,7.5,-1.38,3.75,1.13,0.4614,1.483,-0.001517122,-0.007417397
07-Jan-87,-1.026178672,-1.56909742,-1.044531513,-1.1982208,-1.146072079,-1.615608891,-0.85575247,5.5,12,7.5,-0.69,3.95,1.43,0.4607,1.472,0.013457782,0.022078804
14-Jan-87,-1.003725614,-0.155279236,-1.00981713,-1.155793732,0.216253996,-1.474620634,-0.592216433,5.5,12,7.5,-0.69,3.95,1.43,0.4669,1.5045,-0.001070893,0.008308408
21-Jan-87,-0.971429519,0.164099672,-0.985122904,-1.159345766,-0.127855124,-1.495882151,-0.701163147,5.5,12,7.5,-0.69,3.95,1.43,0.4664,1.517,0.009433962,0.015161503
28-Jan-87,-0.933522895,-0.072073823,-0.949221298,-1.109518628,-0.189781117,-1.49411762,-0.802992028,5.5,12,7.5,-0.69,3.95,1.43,0.4708,1.54,-0.002761257,-0.011688312
04-Feb-87,-0.918298999,-0.08248837,-0.929086006,-1.075379638,-0.339950194,-1.441944122,-0.723428161,5.5,12,7.5,-1.04,3.93,2.11,0.4695,1.522,-0.004685836,0.000985545
11-Feb-87,-0.928836516,-0.495236361,-0.939058675,-1.026933846,0.628597388,-1.398070459,-0.613181202,5.5,12,7.5,-1.04,3.93,2.11,0.4673,1.5235,-0.001069976,0.006235642
18-Feb-87,-0.89292584,-0.494411367,-0.901637425,-0.971482655,0.492463815,-1.318601182,-0.408305539,5.5,12,7.5,-1.04,3.93,2.11,0.4668,1.533,0.002142245,0.004631442
25-Feb-87,-0.899154295,-0.342921198,-0.908380848,-0.950663792,-0.179613387,-1.259325989,-0.470366849,5.5,12,7.5,-1.04,3.93,2.11,0.4678,1.5401,0.000213767,0.012466723
04-Mar-87,-0.882087564,-0.736163624,-0.886440978,-0.921458182,0.122730434,-1.239284395,-0.528935306,5.5,12,7.5,-0.7,4.03,3.04,0.4679,1.5593,-0.006197906,0.019047008
11-Mar-87,-0.875782553,-1.025239673,-0.878415354,-0.944447733,0.054498242,-1.228610068,-0.512920658,5.5,11.5,7.5,-0.7,4.03,3.04,0.465,1.589,0.002580645,0.011013216
18-Mar-87,-0.865966859,-0.943174457,-0.866685597,-0.917610146,-0.333379763,-1.322260951,-0.71088913,5.5,11.5,7.5,-0.7,4.03,3.04,0.4662,1.6065,0.003003003,-0.004046063
