,DJI,DJV,S&P,FTSE,FTV,STI,STIV,SG/D,P/D,SGPRIME,UKPRIME,USPRIME,USINF,UKINF,SGINF
5-Nov-86,1899.04,68587.4,246.58,1644.4,574860,915.99,162617,0.4558,1.4235,5.5,12,7.5,1.29,3.55,-1.38
12-Nov-86,1893.7,86964.2,246.64,1654.3,571831,896.71,110285,0.4569,1.427,5.5,12,7.5,1.29,3.55,-1.38
19-Nov-86,1826.63,95828.4,237.66,1604.3,463667,888.08,105946,0.4572,1.4188,5.5,12,7.5,1.29,3.55,-1.38
26-Nov-86,1916.76,113586.9,248.77,1633.2,500029,882.68,80790,0.457,1.4255,5.5,12,7.5,1.29,3.55,-1.38
3-Dec-86,1947.27,72906.4,253.83,1615.1,486555,888.81,72660,0.457,1.431,5.5,12,7.5,1.13,3.75,-1.38
10-Dec-86,1932.93,76387.6,250.96,1634.6,1801439,885.22,67559,0.4567,1.426,5.5,12,7.5,1.13,3.75,-1.38
17-Dec-86,1918.31,92524.9,247.56,1636.3,1518858,890.03,58143,0.456,1.4292,5.5,12,7.5,1.13,3.75,-1.38
24-Dec-86,1926.88,136470.2,246.75,1665.1,826707,902.29,59720,0.4568,1.4575,5.5,12,7.5,1.13,3.75,-1.38
31-Dec-86,1895.95,43656.9,242.17,1679,,891.3,45559,0.4614,1.483,5.5,12,7.5,1.13,3.75,-1.38
7-Jan-87,1993.95,36121.4,255.33,1722.2,,893.25,68427,0.4607,1.472,5.5,12,7.5,1.43,3.95,-0.69
14-Jan-87,2035.01,124035.8,262.64,1765.2,1229646,957.97,206048,0.4669,1.5045,5.5,12,7.5,1.43,3.95,-0.69
21-Jan-87,2094.07,143895.5,267.84,1761.6,1064254,948.21,149155,0.4664,1.517,5.5,12,7.5,1.43,3.95,-0.69
28-Jan-87,2163.39,129209.7,275.4,1812.1,1034490,949.02,95979,0.4708,1.54,5.5,12,7.5,1.43,3.95,-0.69
