"","X","DJI","DJV","S.P","FTSE","FTV","STI","STIV","SG.D","P.D","SGPRIME","UKPRIME","USPRIME","USINF","UKINF","SGINF","date","USINF.weekly","UKINF.weekly","SGINF.weekly","SGPRIME.weekly","UKPRIME.weekly","USPRIME.weekly","SG.D.forward.week","SG.D.backward.week","SG.D.backward.month","SG.D.target","SG.D.weekly.momentum","SG.D.monthly.momentum","P.D.forward.week","P.D.backward.week","P.D.backward.month","P.D.target","P.D.weekly.momentum","P.D.monthly.momentum","DJI.backward.week","DJI.backward.month","DJI.weekly.momentum","DJI.monthly.momentum","S.P.backward.week","S.P.backward.month","S.P.weekly.momentum","S.P.monthly.momentum","FTSE.backward.week","FTSE.backward.month","FTSE.weekly.momentum","FTSE.monthly.momentum","STI.backward.week","STI.backward.month","STI.weekly.momentum","STI.monthly.momentum","SG.D.weekly.momentum.z","SG.D.monthly.momentum.z","P.D.weekly.momentum.z","P.D.monthly.momentum.z","DJI.weekly.momentum.z","DJI.monthly.momentum.z","S.P.weekly.momentum.z","S.P.monthly.momentum.z","FTSE.weekly.momentum.z","FTSE.monthly.momentum.z","STI.weekly.momentum.z","STI.monthly.momentum.z","DJI.z","DJV.z","S.P.z","FTSE.z","FTV.z","STI.z","STIV.z","USPRIME.weekly.z","UKPRIME.weekly.z","SGPRIME.weekly.z","USINF.weekly.z","UKINF.weekly.z","SGINF.weekly.z","SG.D.forward.week.z","P.D.forward.week.z"
"1","5-Nov-86",1899.04,68587.4,246.58,1644.4,574860,915.99,162617,0.4558,1.4235,5.5,12,7.5,1.29,3.55,-1.38,1986-11-05,0.3225,0.8875,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4569,NA,NA,0.241333918385254,NA,NA,1.427,NA,NA,0.245872848612579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0780788127308,-1.04698703530559,-1.08608429690682,-1.27498419283449,-0.359015060315158,-1.57048104120709,-0.716686585746238,-0.583545586442401,0.60239460992467,-0.434931089428896,-1.87553700129282,-0.364346266348081,-3.18108194858971,-1.76341880273345,-1.75632612439876
"2","12-Nov-86",1893.7,86964.2,246.64,1654.3,571831,896.71,110285,0.4569,1.427,5.5,12,7.5,1.29,3.55,-1.38,1986-11-12,0.3225,0.8875,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4572,0.4558,NA,0.0656598818122177,0.241333918385254,NA,1.4188,1.4235,NA,-0.574632095304834,0.245872848612579,NA,1899.04,NA,-0.281194708905548,NA,246.58,NA,0.0243328737123748,NA,1644.4,NA,0.602043298467518,NA,915.99,NA,-2.10482647190471,NA,0.312063476016884,NA,0.144701893951629,NA,-0.270517861816315,NA,-0.121654231158945,NA,0.172043964908706,NA,-0.699993418838168,NA,-1.08099891336344,-0.751455768481685,-1.08579936353035,-1.26521610043239,-0.359220566460664,-1.61251408528755,-0.818605249700027,-0.583545586442401,0.60239460992467,-0.434931089428896,-1.87553700129282,-0.364346266348081,-3.18108194858971,-1.75967229817358,-1.82044415556571
"3","19-Nov-86",1826.63,95828.4,237.66,1604.3,463667,888.08,105946,0.4572,1.4188,5.5,12,7.5,1.29,3.55,-1.38,1986-11-19,0.3225,0.8875,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.457,0.4569,NA,-0.0437445319335035,0.0656598818122177,NA,1.4255,1.427,NA,0.472230053566389,-0.574632095304834,NA,1893.7,NA,-3.54174367640069,NA,246.64,NA,-3.64093415504378,NA,1654.3,NA,-3.02242640391706,NA,896.71,NA,-0.962407021222022,NA,0.0398084878882308,NA,-0.413618645104335,NA,-1.84579363742105,NA,-1.93685329489153,NA,-1.53483488781868,NA,-0.344662721508126,NA,-1.11767515857527,-0.608903841302826,-1.12844439220839,-1.314549900443,-0.366559083041229,-1.63132866881527,-0.827055625815893,-0.583545586442401,0.60239460992467,-0.434931089428896,-1.87553700129282,-0.364346266348081,-3.18108194858971,-1.76216996788016,-1.76805503253905
"4","26-Nov-86",1916.76,113586.9,248.77,1633.2,500029,882.68,80790,0.457,1.4255,5.5,12,7.5,1.29,3.55,-1.38,1986-11-26,0.3225,0.8875,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.457,0.4572,NA,0,-0.0437445319335035,NA,1.431,1.4188,NA,0.385829533497023,0.472230053566389,NA,1826.63,NA,4.93422313221615,NA,237.66,NA,4.67474543465455,NA,1604.3,NA,1.80140871408091,NA,888.08,NA,-0.608053328528972,NA,-0.129743586775802,NA,0.298728847263605,NA,2.24921776144203,NA,2.18143159051914,NA,0.736863547551717,NA,-0.234446859329962,NA,-1.06838889078129,-0.32331592600243,-1.07568422866574,-1.28603496403687,-0.364092059448328,-1.64310140937722,-0.876047942379783,-0.583545586442401,0.60239460992467,-0.434931089428896,-1.87553700129282,-0.364346266348081,-3.18108194858971,-1.76216996788016,-1.72504903602464
"5","3-Dec-86",1947.27,72906.4,253.83,1615.1,486555,888.81,72660,0.457,1.431,5.5,12,7.5,1.13,3.75,-1.38,1986-12-03,0.2825,0.9375,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4567,0.457,0.4558,-0.0656455142231997,0,0.263273365511197,1.426,1.4255,1.4235,-0.349406009783376,0.385829533497023,0.526870389884093,1916.76,1899.04,1.59174857572153,2.53970427163198,248.77,246.58,2.03400731599469,2.94022224024657,1633.2,1644.4,-1.10825373499878,-1.78180491364633,882.68,915.99,0.694475914261113,-2.96728130219763,-0.0619494650343229,0.0577441124987371,0.239936776237766,0.126646651422515,0.634361106347499,0.339512475882413,0.873623640116953,0.468489200208759,-0.633389678635174,-0.593716547495517,0.170683343816347,-0.543391588741736,-1.05170494503188,-0.977529918646953,-1.05165484725027,-1.30389379964071,-0.365006219172511,-1.62973716870226,-0.891881442684459,-0.583545586442401,0.60239460992467,-0.434931089428896,-2.01628656581022,-0.280157692295612,-3.18108194858971,-1.76591647244004,-1.76414539649229
"6","10-Dec-86",1932.93,76387.6,250.96,1634.6,1801439,885.22,67559,0.4567,1.426,5.5,12,7.5,1.13,3.75,-1.38,1986-12-10,0.2825,0.9375,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.456,0.457,0.4569,-0.153273483687317,-0.0656455142231997,-0.0437732545414703,1.4292,1.431,1.427,0.22440392706873,-0.349406009783376,-0.0700770847932804,1947.27,1893.7,-0.73641559722072,2.07160585097956,253.83,246.64,-1.13067801284324,1.75154070710348,1615.1,1654.3,1.20735558169773,-1.19083600314333,888.81,896.71,-0.40391084708767,-1.28135071539294,-0.16368515144639,-0.165768790475378,-0.26036137296965,-0.0681914573300615,-0.490449672398217,0.226656319976427,-0.693665673552596,0.168341548329359,0.457104903578444,-0.466283946721651,-0.170951712917779,-0.288081249484814,-1.0595465635847,-0.921546099588826,-1.06528416042466,-1.28465361763657,-0.275796333854666,-1.63756386103882,-0.901815844290136,-0.583545586442401,0.60239460992467,-0.434931089428896,-2.01628656581022,-0.280157692295612,-3.18108194858971,-1.77465831641308,-1.73912372579299
"7","17-Dec-86",1918.31,92524.9,247.56,1636.3,1518858,890.03,58143,0.456,1.4292,5.5,12,7.5,1.13,3.75,-1.38,1986-12-17,0.2825,0.9375,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4568,0.4567,0.4572,0.175438596491221,-0.153273483687317,-0.262467191601045,1.4575,1.426,1.4188,1.98012874335292,0.22440392706873,0.733013814491117,1932.93,1826.63,-0.756364689874963,5.0190788501229,250.96,237.66,-1.35479757730316,4.16561474375158,1634.6,1604.3,0.104000978832745,1.99463940659478,885.22,888.08,0.543367750389727,0.219574813079895,-0.299488667159839,-0.324965842462596,0.130093158272252,0.193929949679064,-0.500087718848924,0.937277116039741,-0.80465939389549,0.77790654396535,-0.0625001126948673,0.220610759496674,0.123683645755712,-0.0607873093469541,-1.06754129602837,-0.662029931805676,-1.08143038509117,-1.28297626843621,-0.294968381429207,-1.62707740139012,-0.920153881051369,-0.583545586442401,0.60239460992467,-0.434931089428896,-2.01628656581022,-0.280157692295612,-3.18108194858971,-1.76466763758674,-1.51783832554608
"8","24-Dec-86",1926.88,136470.2,246.75,1665.1,826707,902.29,59720,0.4568,1.4575,5.5,12,7.5,1.13,3.75,-1.38,1986-12-24,0.2825,0.9375,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4614,0.456,0.457,1.00700525394045,0.175438596491221,-0.0437636761488038,1.483,1.4292,1.4255,1.74957118353345,1.98012874335292,2.24482637670993,1918.31,1916.76,0.446747397448805,0.527974289947626,247.56,248.77,-0.32719340765875,-0.811995015476147,1636.3,1633.2,1.76006844710627,1.95322067107518,890.03,882.68,1.37748165792164,2.22164317759551,0.209940644265732,-0.165761817936972,1.32479312093377,0.687371521854735,0.0811743156710953,-0.145505422997229,-0.295745278773232,-0.478963222702709,0.717395091954284,0.211679499164325,0.383120997105855,0.242397624457943,-1.06285491729771,0.0446877872725399,-1.08527698567349,-1.2545599996301,-0.341928197909316,-1.6003489200402,-0.917082610451065,-0.583545586442401,0.60239460992467,-0.434931089428896,-2.01628656581022,-0.280157692295612,-3.18108194858971,-1.70722123433531,-1.31844688716105
"9","31-Dec-86",1895.95,43656.9,242.17,1679,1405381.07142857,891.3,45559,0.4614,1.483,5.5,12,7.5,1.13,3.75,-1.38,1986-12-31,0.2825,0.9375,-0.345,0.105769230769231,0.230769230769231,0.144230769230769,0.4607,0.4568,0.457,-0.151712180320758,1.00700525394045,0.962800875273514,1.472,1.4575,1.431,-0.741739716790298,1.74957118353345,3.63382250174703,1926.88,1947.27,-1.60518558498713,-2.6354845501651,246.75,253.83,-1.85612968591693,-4.59362565496593,1665.1,1615.1,0.834784697615764,3.95641136771718,902.29,888.81,-1.21801194737834,0.280149863300369,1.49868071575546,0.566961326452795,1.16790799545573,1.14072695017471,-0.910180315901546,-0.908199310244987,-1.05294077886285,-1.43384266271283,0.281649343068982,0.643634202334459,-0.424164411187729,-0.0516140748476586,-1.0797685338834,-1.4479133253862,-1.10702690007721,-1.24084520322715,-0.302667360034223,-1.62430862722092,-0.944661724573392,-0.583545586442401,0.60239460992467,-0.434931089428896,-2.01628656581022,-0.280157692295612,-3.18108194858971,-1.71596307830835,-1.40445888018989
"10","7-Jan-87",1993.95,36121.4,255.33,1722.2,1530356.14285714,893.25,68427,0.4607,1.472,5.5,12,7.5,1.43,3.95,-0.69,1987-01-07,0.3575,0.9875,-0.1725,0.105769230769231,0.230769230769231,0.144230769230769,0.4669,0.4614,0.4567,1.34577816366399,-0.151712180320758,0.87584847821327,1.5045,1.483,1.426,2.20788043478261,-0.741739716790298,3.22580645161291,1895.95,1932.93,5.16891268229647,3.15686548400615,242.17,250.96,5.43419911632325,1.74131335671023,1679,1634.6,2.57296009529482,5.35910926220483,891.3,885.22,0.218781555031981,0.907119134226517,-0.297069000384828,0.503664805930408,-0.527328645269203,1.00755430279598,2.36260380983901,0.488306915106858,2.55754596393251,0.165759094476169,1.10021180109628,0.946102636151808,0.0227264718637143,0.0433315525207849,-1.02617867208588,-1.569097419524,-1.04453151283857,-1.19822080001799,-0.294188276107631,-1.62005735979576,-0.90012537955896,-0.583545586442401,0.60239460992467,-0.434931089428896,-1.75238113234011,-0.195969118243142,-2.54769204211132,-1.63853531740425,-1.15033253715015
