TotRet1D,PriceRet1D,PriceRet10D,PriceRet20D,PriceRet50D,PriceRet100D,PriceRet200D,PriceClose,PriceOpen,PriceHigh,PriceLow,PriceHigh52W,PriceLow52W,VWAP,VolumeDaily,Short Interest,MA10,MA20,MA50,MA100,MA200,DividendPS,SharesOutstanding,SharesLessCloselyHeld,CloselyHeldShares(%),MarketValue,EPSMeanFY1,EPSMeanFY2,EPSMeanFY3,EPSMeanFY1Last3M,EPSMeanFY1Last6M,EBITDAMeanFY1,EBITDAMeanFY2,EBITDAMeanFY3,EBITDAMeanFY1Last3M,EBITDAMeanFY1Last6M,FCFPSMeanFY1,FCFPSMeanFY2,FCFPSMeanFY3,FCFPSMeanFY1Last3M,FCFPSMeanFY1Last6M,DPSMeanFY1,DPSMeanFY2,DPSMeanFY3,DPSMeanFY1Last3M,DPSMeanFY1Last6M,BPSMeanFY1,BPSMeanFY2,BPSMeanFY3,BPSMeanFY1Last3M,BPSMeanFY1Last6M,SalesPSMeanFY1,SalesPSMeanFY2,SalesPSMeanFY3,SalesPSMeanFY1Last3M,SalesPSMeanFY1Last6M,EPSMeanStdFY1,EPSMeanStdFY2,EPSMeanStdFY3,EBITDAMeanStdFY1,EBITDAMeanStdFY2,EBITDAMeanStdFY3,Earnings FY1 UpDngrade(3M),Earnings FY2 UpDngrade(3M),Earnings FY3 UpDngrade(3M),Earnings FY1 UpDngrade(6M),Earnings FY2 UpDngrade(6M),Earnings FY3 UpDngrade(6M),EBITDA FY1 UpDngrade(3M),EBITDA FY2 UpDngrade(3M),EBITDA FY3 UpDngrade(3M),EBITDA FY1 UpDngrade(6M),EBITDA FY2 UpDngrade(6M),EBITDA FY3 UpDngrade(6M),EPS FY1 Analyst Coverage,EV_EBITMeanF12M,EV_EBITDAMeanF12M,EV_FCFMeanF12M,EV_SalesMeanF12M,EPS_LTGMean,PEGMean,GrossMarginF12M,EBITDAMarginMeanF12M,EBITMarginMeanF12M,NetMarginMeanF12M,ROICMean,AssetTurnMeanF12M,NetdebtEbitdaMeanF12M,Capex_SalesMeanF12M,EPSPast,FCFPSPast,SalesPSPast,EV_EBIT(12M),EV_EBITDA(12M),Payout,ROIC(1Y),CashFlowROIC(1Y),InvestedCapitalPS,CapexPS,DebtCapital,DebtTotalAssets,DebtEBITDA,CashFlowOpsPS,CashFlowInvPS,CashFlowFinPS,CashDivCashFlow,NetCashTotalDebt,ShareRepurchaseAmtANN,ShareRepurchaseAmtQTR,ShareSalesAmtANN,ShareSalesAmtQTR,NumInsiderBuy,NumInsiderSales,NumShsBuy,NumShsSold,SharesChg3M,SharesChg6M,SharesChg12M,FERating,Date,EPSMeanLTMSlope(6M),EPSPastSlope(6M),EPSPastSlope(12M),EPSPastSlope(36M),EPSPastSlope(60M),EPSPastSlopeStd(36M),EPSPastSlopeStd(60M),SalesPSPastSlope(6M),SalesPSPastSlope(12M),SalesPSPastSlope(36M),SalesPSPastSlope(60M),SalesPSPastSlopeStd(36M),SalesPSPastSlopeStd(60M),NetMarginPastSlope(12M),NetMarginPastSlope(36M),PriceSlope20D,PriceSlope50D,PriceSlope100D,PriceSlope200D,PriceSlopeStd20D,PriceSlopeStd50D,PriceSlopeStd100D,PriceSlopeStd200D,MoneyFlow14D,MoneyFlow50D,MoneyFlow200D
-0.9,-0.9,4,2.6,2.4,-1.5,20.2,69.2,69.9,69.9,68.7,71.8,51.7,69.2,2774020,2.7,68.6,67.8,68.6,68.3,64.8,0,684.7,673.4,0.5,44568.6,4.3,4.7,5,4.27,3.8,7,7.5,7.9,6.9,6.4,4,5.2,0,4.3,4.6,1.62,1.8,2.1,1.6,1.4,8.5,10.1,11.8,8.5,7,42.8,45.7,48.2,43.2,40.9,0,0.1,0.2,184.2,194.9,164.6,0,0,0,0,0,0,0,0,-1,0,0,0,24,9.2,8.1,11.9,1.3,9.7,1.7,32.5,16.3,14.3,10,0,1.6,-1.6,1.5,3.8,4.1,41.5,10,8.6,38.7,63.6,106.1,6.1,0.6,0,0,0,5.9,-0.8,-3.8,25.8,12899551.5,2098.8,220.8,454.4,164.6,0,4,0,-164802,0.02,0.02,0,1.5,20121219,0.04,0,0.04,0.1,0,0,0,0.3,0.3,0.4,0.2,0,0,0,0.1,0,0,0,0,-0.7,2.9,6.8,15.4,0.8,0.6,0.9
2,2,4.5,6.9,21.5,13.2,26.3,52.9,52.3,53,51.8,59.9,39.1,52.5,99269,1.6,51.9,50.9,48.5,46.7,46.6,0,24,0,0,1267.5,3.3,3.9,0,3.24,3.3,6.2,7.4,0,6.1,6.1,2.5,2,0,1.4,1.5,0,0,0,0,0,26.5,28.9,0,24.9,25.1,32.9,36.4,0,32.8,33.3,0.2,0.5,0,5.9,10.2,0,0,0,1,0,0,1,0,0,1,0,0,1,6,9,6.8,17.7,1.3,10,1.6,42.8,19.4,14.7,9.3,0,0.9,-1.2,3.8,2.6,1.2,32,9.8,7.4,0,9.8,10,27.7,1.5,0,0,0,2.7,-5.9,-0.6,0,340900,25,0,13.3,4.7,0,4,0,-18598,0.01,0.01,0,1.3,20130124,-0.03,-0.1,-0.06,0.1,0.1,0.01,0,-0.3,0,0.5,0.3,0,0,-0.2,0.4,0,0,0,0,10.9,26,1.8,-2.1,1,2,1.2
0.6,0.6,4.4,6,7.7,-12.8,36.4,27.3,27.3,27.4,27.1,35.6,19,27.3,299500,9.4,26.8,26.1,25.9,27.4,27.3,0,56,54.7,2.1,1531.6,1.5,1.9,2.3,1.41,1.4,2.7,3.4,4.2,2.6,2.6,1.2,1.7,2.4,1.3,1,0,0,0,0,0,3.5,5.5,8.2,3.6,3.7,16.9,20,22.9,16.8,16.4,0.1,0.1,0.1,2.7,10.2,8.6,1,1,0,0,0,0,0,1,0,0,0,0,6,7.8,6.9,14.1,1.2,24.1,0.8,64.4,16.9,14.9,9.6,0,2.3,-1.2,4.4,1.4,1.2,15.9,13,11.4,0,54.2,76.4,3.4,0.8,0.1,0,0,2,-1.6,-0.2,0,114157,34.9,10.8,5.1,1.9,0,0,0,0,0,-0.01,0,1.3,20130124,0.05,0,0.04,0,0,0.01,0,0.3,0.3,0.1,-0.1,0,0,0.1,0,0,0,0,0,5,-1.2,-12,0.1,1.4,1.1,1
-1,-1,1.8,0.8,-4.9,0.3,-19.5,13.2,12,13.3,11.9,23.1,11.8,12.6,16856790,25.3,13,12.9,13.4,13.2,14.5,0,78.3,67.7,16.2,1036.3,0.7,0.9,1,0.96,1.3,2.2,2.5,2.7,2.4,3,0.8,0.9,1.1,1,1.5,0,0,0,0,0,6,6.7,7.7,7.5,8,30.6,31.4,32.7,29.9,30.7,0.1,0.1,0.1,13.8,20.7,24.8,0,0,-1,0,0,0,0,0,-1,0,0,0,20,6.1,3.8,9.8,0.3,10.7,1.8,27.4,7.8,5,3,0,3.1,-1.5,3.1,0.8,1.4,29.9,8,4.9,0,15.6,45.1,5.2,0.8,0,0,0,2.2,-0.8,-0.5,0,89234.5,100.1,40.8,1.5,0,0,0,0,0,-0.04,-0.04,0,1.6,20121128,-0.05,0,-0.07,-0.1,0,0.01,0,0,0,0.3,0.3,0,0,-0.3,-0.3,0,0,0,0,-2.3,-2.5,-4.2,-23,0.5,0.9,0.9
0.3,0.3,-3.9,-1.7,-5,-15.8,-6.1,20.2,20.2,20.3,20.1,25.4,18.2,20.2,265259,7.7,20.2,20.3,20.6,21.4,22.1,0,57.2,42.7,25.6,1155.5,1.1,1.2,1.3,1.11,1.1,1.7,1.9,2.2,1.7,1.8,1.2,1.2,1.2,1.2,1.3,0,0,0,0,0,5.7,7,8.9,5.4,5.3,8.6,9.5,10.1,8.6,8.5,0,0,0.1,1.1,5.9,0.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,9,0,0,0,0,15.4,1.2,66.8,20.3,18.5,13.2,0,1.2,0,1.9,1,1.2,8.1,15.6,14.2,0,20.1,27,5.4,0.2,0,0,0,1.4,-0.9,-1.1,0,63448.8,26.3,0,1.6,0.6,0,1,0,-46000,0,0,0,1.9,20130214,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,-0.2,-0.2,0,0,0,0,-2.3,-6.8,-12.5,0.9,1,0.7,0.8
1.8,1.8,-2.8,-3,-5,-4,3,55.8,55,56,53.8,61.9,40.5,54.8,411267,13.4,56.1,56.4,57.4,57.6,56.9,0,29.4,22.6,25.2,1642.2,2.1,2.4,2.9,2.02,2,4.3,5,5.9,4.2,4.1,1.8,2.3,0,2.5,1.4,0,0,0,0,0,14.7,17,20.1,14.2,13.9,32.5,37.5,41.8,32.4,32.2,0,0.1,0.1,2.1,4,2.8,1,0,0,1,0,0,1,0,1,1,0,1,15,12.4,10.2,27.8,1.4,19.5,1.4,35.1,13.4,11,6.7,0,1.6,-0.8,3.2,2,1.6,31.3,16.5,13.6,0,15.4,19.3,14.4,0.9,0,0,0,2.5,-0.9,0.1,0,36762.3,0,0,12,0.1,0,0,0,0,0,0,0,1.6,20130226,0.05,0.1,0.06,0,0,0,0,0.3,0.3,0.1,0.2,0,0,0.1,0.1,0,0,0,0,-3.2,-3.2,0.5,17.6,0.4,0.6,1.2
-0.9,-0.9,0.9,2.1,3.4,14.3,19.9,33.1,33.6,33.6,32.9,35.1,23.2,33.1,163399,2.4,33.4,32.9,32.7,31.3,29.4,0,48.3,0,0,1599.1,0.8,1.2,1.5,0.86,1.1,2,2.5,0,2,2.5,0.3,0.6,0,0.6,0.7,0.5,0.5,0,0.5,0.5,15,15.7,0,15.2,15.5,13.5,14.6,0,13.6,14.4,0,0.1,0,5.3,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,15.5,2.6,43.8,17,13,7.8,0,0.8,0,4.2,0.9,0.5,13.3,17.1,12.4,58.8,5.3,8.7,16.2,0.4,0,0,0,1.4,-2.4,-0.5,30.5,35077.7,0,0,4.9,2.7,0,1,0,-50000,0,0,0,1.8,20130207,-0.02,0,0,0,0,0,0,0,0.1,0,-0.1,0,0,-0.1,0.1,0,0,0,0,1.9,8.7,24.7,6.4,0.6,1.3,1.2
-0.2,-0.2,3.9,5.3,14.1,-2.7,39.5,52.9,53.4,53.4,52.7,55,36.9,53,26622,7.4,52.2,51.4,49.8,50.4,48.6,0,15.7,0,0,831.1,4.1,4.6,0,3.76,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,20.2,0,15.6,16,36.6,38.5,0,34.2,33.8,0.2,0.4,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,43.7,0,16.7,11.2,0,1.2,0,3.6,3.2,2.1,33.7,8.8,7.6,32.7,23.6,29.7,14.4,1,0.1,0.1,0,4,-1,-4.6,23,28271.7,35.3,0,17.9,0.8,0,0,0,0,-0.03,-0.02,0,1,20130131,0.04,0,-0.01,0.1,0,0.01,0,0.4,0.3,0.4,0.1,0,0,-0.2,0.3,0,0,0,0,10.4,5.6,-4.8,10.3,2.6,1.5,1.2
-2.4,-2.4,0.2,3.7,1,-15.2,-17.9,35.8,36.8,37.2,35.6,59.7,32,36,59992,2.5,36.4,35.7,35.3,37,38.3,0,17,16.7,1.5,606.9,1.3,1.6,1.8,1.59,2.1,2.1,2.6,3.3,2.7,3.4,0.9,4.4,0,1.7,0,0,0,0,0,0,16.3,17.8,0,16.4,0,15.5,16.9,19,16.8,18.1,0.1,0.2,0,1.6,2.8,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,6,9.9,8.4,7.6,1.3,0,0,55.2,15.6,13.3,9.8,0,0.7,-5,1.7,1.4,1.1,15.8,16.9,12.9,0,9.6,9.1,16.1,0.3,0,0,0,1.4,-0.3,0.5,0,27817.9,0,0,6.2,0.1,0,0,0,0,0,0,0,1.8,20130227,-0.1,0,0.04,0.1,0,0,0,0.1,0.2,0.2,0.1,0,0,0.2,0.5,0,0,0,0,6,4.2,-10.3,-21.4,1.1,1.2,0.8
-0.4,-0.4,5.3,5.7,3.6,-5.1,7.4,46.5,46.8,46.9,46.1,51.9,35.7,46.4,1105906,3.2,45.6,44.9,44.2,45.7,45.6,0,140.9,137.6,1,6553.5,1.9,2.2,2.6,1.86,1.8,3.7,4.3,4.9,3.7,3.6,1.3,1.6,1.8,1.3,1.4,0.33,0.4,0.4,0.3,0.3,7.9,9.2,12.1,8.2,8.6,33.1,36.5,40.2,33,32.7,0,0,0.1,4.9,10.6,17.3,0,0,1,0,0,1,0,0,1,0,0,0,26,12.5,10.4,26.4,1.2,17.6,1.4,33.8,11.7,9.7,6.1,0,2.6,-0.5,2.9,1.8,0.6,31.9,16.7,13.8,17.6,26.8,30,15.2,2.4,0.1,0.1,0,2.1,-2.2,-2.4,13.2,23151.4,278.6,114.8,26.6,3.9,0,0,0,0,-0.01,-0.02,0,1.4,20130130,0.03,0,0.04,0,0,0,0,0.3,0.4,0.3,0.2,0,0,0.1,0.1,0,0,0,0,7,-1.3,-13.4,-2.1,1.1,0.9,1
