"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Date","Sector"
669,0,0,168,14.2752769380952,"actual",2008-12-01,"All"
644,134,25,34,12.1859046062712,"ksvm",2008-12-01,"All"
632,115,37,53,11.4426563108889,"nnet",2008-12-01,"All"
661,125,8,43,18.8117040490196,"rf",2008-12-01,"All"
657,159,12,9,4.4411529047619,"ada",2008-12-01,"All"
662,146,7,22,18.0485184965517,"voted",2008-12-01,"All"
660,129,9,39,17.9362650979167,"voted.prob",2008-12-01,"All"
647,134,22,34,13.3966750839286,"PCA_ksvm",2008-12-01,"All"
620,104,49,64,9.72518581079646,"PCA_nnet",2008-12-01,"All"
661,129,8,39,18.7814543234043,"PCA_rf",2008-12-01,"All"
663,165,6,3,2.96852925555556,"PCA_ada",2008-12-01,"All"
664,144,5,24,20.1585670655172,"PCA_voted",2008-12-01,"All"
655,131,14,37,16.1542674131373,"PCA_voted.prob",2008-12-01,"All"
669,0,0,167,8.4579800257485,"actual",2009-01-04,"All"
663,154,6,13,7.43225206842105,"ksvm",2009-01-04,"All"
641,131,28,36,3.76664183125,"nnet",2009-01-04,"All"
666,125,3,42,10.5486565466667,"rf",2009-01-04,"All"
663,161,6,6,-1.586505625,"ada",2009-01-04,"All"
669,159,0,8,12.030635625,"voted",2009-01-04,"All"
663,147,6,20,8.81441018076923,"voted.prob",2009-01-04,"All"
662,156,7,11,6.38997181111111,"PCA_ksvm",2009-01-04,"All"
631,127,38,40,2.35040013230769,"PCA_nnet",2009-01-04,"All"
665,134,4,33,10.1502006405405,"PCA_rf",2009-01-04,"All"
665,166,4,1,-2.3882556,"PCA_ada",2009-01-04,"All"
668,160,1,7,10.6322748625,"PCA_voted",2009-01-04,"All"
667,149,2,18,11.427840425,"PCA_voted.prob",2009-01-04,"All"
668,0,0,167,-1.36504571676647,"actual",2009-02-01,"All"
663,150,5,17,-0.830363254545455,"ksvm",2009-02-01,"All"
623,134,45,33,-8.46493127653846,"nnet",2009-02-01,"All"
668,145,0,22,9.93260382727273,"rf",2009-02-01,"All"
668,164,0,3,0.399180166666667,"ada",2009-02-01,"All"
668,159,0,8,12.5206187875,"voted",2009-02-01,"All"
666,149,2,18,6.904979055,"voted.prob",2009-02-01,"All"
662,154,6,13,-2.06348004736842,"PCA_ksvm",2009-02-01,"All"
597,129,71,38,-11.3000811559633,"PCA_nnet",2009-02-01,"All"
668,150,0,17,8.95073899411765,"PCA_rf",2009-02-01,"All"
665,166,3,1,-10.549712625,"PCA_ada",2009-02-01,"All"
668,161,0,6,5.02103963333333,"PCA_voted",2009-02-01,"All"
665,146,3,21,2.8332806375,"PCA_voted.prob",2009-02-01,"All"
669,0,0,167,31.1709907065868,"actual",2009-03-01,"All"
624,115,45,52,23.9441500856701,"ksvm",2009-03-01,"All"
281,17,388,150,16.4532326535688,"nnet",2009-03-01,"All"
360,15,309,152,17.8777416644469,"rf",2009-03-01,"All"
650,151,19,16,20.889253722,"ada",2009-03-01,"All"
624,113,45,54,23.8666608223232,"voted",2009-03-01,"All"
443,38,226,129,18.4238283796338,"voted.prob",2009-03-01,"All"
637,130,32,37,24.7284508871014,"PCA_ksvm",2009-03-01,"All"
306,39,363,128,15.8191787252749,"PCA_nnet",2009-03-01,"All"
569,94,100,73,20.5060741728902,"PCA_rf",2009-03-01,"All"
669,167,0,0,NA,"PCA_ada",2009-03-01,"All"
645,140,24,27,24.4143557668627,"PCA_voted",2009-03-01,"All"
551,78,118,89,20.9429630126087,"PCA_voted.prob",2009-03-01,"All"
670,0,0,168,24.3282620267857,"actual",2009-04-01,"All"
655,115,15,53,25.5524634132353,"ksvm",2009-04-01,"All"
609,70,61,98,18.7436499916352,"nnet",2009-04-01,"All"
656,104,14,64,27.6641894461538,"rf",2009-04-01,"All"
618,101,52,67,17.6003937429412,"ada",2009-04-01,"All"
656,115,14,53,27.3637110910448,"voted",2009-04-01,"All"
646,94,24,74,24.5290785193878,"voted.prob",2009-04-01,"All"
655,114,15,54,26.1122025521739,"PCA_ksvm",2009-04-01,"All"
605,74,65,94,18.4654562792453,"PCA_nnet",2009-04-01,"All"
644,108,26,60,23.3495603848837,"PCA_rf",2009-04-01,"All"
615,106,55,62,17.0028055676068,"PCA_ada",2009-04-01,"All"
654,117,16,51,26.5141759925373,"PCA_voted",2009-04-01,"All"
649,105,21,63,25.9370740964286,"PCA_voted.prob",2009-04-01,"All"
670,0,0,168,18.8381034285714,"actual",2009-05-03,"All"
652,150,18,18,16.4419572183333,"ksvm",2009-05-03,"All"
613,116,57,52,12.3101688756881,"nnet",2009-05-03,"All"
666,141,4,27,26.535274983871,"rf",2009-05-03,"All"
627,144,43,24,9.79172085373134,"ada",2009-05-03,"All"
666,154,4,14,28.0541240611111,"voted",2009-05-03,"All"
654,144,16,24,18.726326005,"voted.prob",2009-05-03,"All"
649,149,21,19,14.8422672315,"PCA_ksvm",2009-05-03,"All"
602,119,68,49,11.024191991453,"PCA_nnet",2009-05-03,"All"
661,148,9,20,20.9801983206897,"PCA_rf",2009-05-03,"All"
617,147,53,21,7.07152780486487,"PCA_ada",2009-05-03,"All"
660,153,10,15,20.0906957024,"PCA_voted",2009-05-03,"All"
652,144,18,24,16.0475350157143,"PCA_voted.prob",2009-05-03,"All"
671,0,0,168,6.93235003452381,"actual",2009-06-01,"All"
661,160,10,8,2.76369051388889,"ksvm",2009-06-01,"All"
632,135,39,33,1.22651225180556,"nnet",2009-06-01,"All"
669,148,2,20,11.4690297818182,"rf",2009-06-01,"All"
665,165,6,3,0.553154972222222,"ada",2009-06-01,"All"
668,161,3,7,9.304889395,"voted",2009-06-01,"All"
667,154,4,14,9.80806503611111,"voted.prob",2009-06-01,"All"
660,160,11,8,2.05456043947368,"PCA_ksvm",2009-06-01,"All"
623,134,48,34,1.43864774390244,"PCA_nnet",2009-06-01,"All"
668,153,3,15,10.6367683861111,"PCA_rf",2009-06-01,"All"
670,167,1,1,2.94815,"PCA_ada",2009-06-01,"All"
669,162,2,6,9.4244189,"PCA_voted",2009-06-01,"All"
665,157,6,11,8.00647205294118,"PCA_voted.prob",2009-06-01,"All"
670,0,0,168,32.6396195,"actual",2009-07-01,"All"
633,116,37,52,29.0505248876404,"ksvm",2009-07-01,"All"
315,20,355,148,20.1490721180914,"nnet",2009-07-01,"All"
296,1,374,167,21.0063003312384,"rf",2009-07-01,"All"
625,133,45,35,26.33442060625,"ada",2009-07-01,"All"
616,105,54,63,27.2692414957265,"voted",2009-07-01,"All"
388,22,282,146,22.0239742768692,"voted.prob",2009-07-01,"All"
640,126,30,42,30.2838336527778,"PCA_ksvm",2009-07-01,"All"
350,43,320,125,19.8026804332584,"PCA_nnet",2009-07-01,"All"
395,31,275,137,21.7640438332524,"PCA_rf",2009-07-01,"All"
670,167,0,1,38.028168,"PCA_ada",2009-07-01,"All"
644,132,26,36,30.1360754354839,"PCA_voted",2009-07-01,"All"
492,54,178,114,23.1327348825342,"PCA_voted.prob",2009-07-01,"All"
673,0,0,169,12.5895264384615,"actual",2009-08-02,"All"
665,146,8,23,16.4641938652903,"ksvm",2009-08-02,"All"
659,139,14,30,15.0403811577273,"nnet",2009-08-02,"All"
671,140,2,29,20.7658183270968,"rf",2009-08-02,"All"
669,160,4,9,19.5511701449231,"ada",2009-08-02,"All"
671,154,2,15,24.2274482435294,"voted",2009-08-02,"All"
670,149,3,20,21.3459015234783,"voted.prob",2009-08-02,"All"
662,144,11,25,14.1713066645556,"PCA_ksvm",2009-08-02,"All"
653,134,20,35,12.9871587370909,"PCA_nnet",2009-08-02,"All"
671,143,2,26,20.7511157192857,"PCA_rf",2009-08-02,"All"
663,155,10,14,12.3806934939167,"PCA_ada",2009-08-02,"All"
672,156,1,13,25.6088872385714,"PCA_voted",2009-08-02,"All"
669,151,4,18,19.747306642,"PCA_voted.prob",2009-08-02,"All"
672,0,0,168,10.9959932904762,"actual",2009-09-01,"All"
624,98,48,70,8.18231857194915,"ksvm",2009-09-01,"All"
593,63,79,105,7.87835827331522,"nnet",2009-09-01,"All"
647,63,25,105,11.0118996953846,"rf",2009-09-01,"All"
637,124,35,44,7.72804916683544,"ada",2009-09-01,"All"
651,99,21,69,10.9557115482222,"voted",2009-09-01,"All"
640,72,32,96,10.3408426260937,"voted.prob",2009-09-01,"All"
624,102,48,66,8.16668171701754,"PCA_ksvm",2009-09-01,"All"
589,60,83,108,7.33884844060733,"PCA_nnet",2009-09-01,"All"
643,65,29,103,10.6179336556061,"PCA_rf",2009-09-01,"All"
637,136,35,32,6.15431040134328,"PCA_ada",2009-09-01,"All"
650,111,22,57,10.203132916962,"PCA_voted",2009-09-01,"All"
632,77,40,91,9.49832406442748,"PCA_voted.prob",2009-09-01,"All"
673,0,0,168,3.51747647152976,"actual",2009-10-01,"All"
665,152,8,16,0.307374020833333,"ksvm",2009-10-01,"All"
634,110,39,58,0.374420777484536,"nnet",2009-10-01,"All"
673,117,0,51,7.25974474901961,"rf",2009-10-01,"All"
665,164,8,4,-4.25107968333333,"ada",2009-10-01,"All"
672,155,1,13,4.24703488571429,"voted",2009-10-01,"All"
664,127,9,41,4.335705664,"voted.prob",2009-10-01,"All"
665,151,8,17,0.0346074824399997,"PCA_ksvm",2009-10-01,"All"
619,112,54,56,-0.725279260954546,"PCA_nnet",2009-10-01,"All"
673,127,0,41,7.09096424146341,"PCA_rf",2009-10-01,"All"
673,168,0,0,NA,"PCA_ada",2009-10-01,"All"
673,157,0,11,5.31654142727273,"PCA_voted",2009-10-01,"All"
671,138,2,30,6.498393565625,"PCA_voted.prob",2009-10-01,"All"
673,0,0,169,6.37179917928994,"actual",2009-11-01,"All"
647,116,26,53,5.36885997093671,"ksvm",2009-11-01,"All"
582,63,91,106,3.56679580342132,"nnet",2009-11-01,"All"
646,74,27,95,6.17582457795082,"rf",2009-11-01,"All"
669,161,4,8,7.4456931,"ada",2009-11-01,"All"
664,126,9,43,7.42076467730769,"voted",2009-11-01,"All"
640,78,33,91,5.69104759112903,"voted.prob",2009-11-01,"All"
649,117,24,52,5.84039470794737,"PCA_ksvm",2009-11-01,"All"
561,58,112,111,2.98351082472646,"PCA_nnet",2009-11-01,"All"
649,83,24,86,6.20095243290909,"PCA_rf",2009-11-01,"All"
670,169,3,0,-1.03079476666667,"PCA_ada",2009-11-01,"All"
663,131,10,38,7.4179069775,"PCA_voted",2009-11-01,"All"
642,83,31,86,5.58052945145299,"PCA_voted.prob",2009-11-01,"All"
674,0,0,169,12.9705031923077,"actual",2009-12-01,"All"
639,111,35,58,11.4006893433333,"ksvm",2009-12-01,"All"
537,22,137,147,9.50010738623239,"nnet",2009-12-01,"All"
566,7,108,162,10.4965349762593,"rf",2009-12-01,"All"
656,132,18,37,11.9532788472727,"ada",2009-12-01,"All"
650,108,24,61,12.3524111728235,"voted",2009-12-01,"All"
602,36,72,133,10.9477477711707,"voted.prob",2009-12-01,"All"
641,115,33,54,10.7805912382759,"PCA_ksvm",2009-12-01,"All"
