"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Window","Sector"
1513,0,0,379,11.8860006973615,"test.actual","2013-06-03to2013-11-29","Health Care"
1481,370,32,9,4.48163258892683,"test.ksvm","2013-06-03to2013-11-29","Health Care"
1267,307,246,72,4.11528712426415,"test.nnet","2013-06-03to2013-11-29","Health Care"
1488,359,25,20,8.85918056933333,"test.rf","2013-06-03to2013-11-29","Health Care"
1504,358,9,21,13.287617989,"test.ada","2013-06-03to2013-11-29","Health Care"
1508,371,5,8,10.5305748923077,"test.voted","2013-06-03to2013-11-29","Health Care"
1477,351,36,28,6.76430346384375,"test.voted.prob","2013-06-03to2013-11-29","Health Care"
1513,0,0,379,11.8860006973615,"test.actual","2013-09-02to2013-11-29","Health Care"
1505,363,8,16,14.1618201625,"test.ksvm","2013-09-02to2013-11-29","Health Care"
1251,269,262,110,5.48479618479301,"test.nnet","2013-09-02to2013-11-29","Health Care"
1501,347,12,32,12.4893284725,"test.rf","2013-09-02to2013-11-29","Health Care"
1494,350,19,29,10.3415850575,"test.ada","2013-09-02to2013-11-29","Health Care"
1511,361,2,18,17.10038325,"test.voted","2013-09-02to2013-11-29","Health Care"
1458,343,55,36,8.13736555714286,"test.voted.prob","2013-09-02to2013-11-29","Health Care"
1513,0,0,379,11.8860006973615,"test.actual","2013-11-01to2013-11-29","Health Care"
1453,314,60,65,9.45512100432,"test.ksvm","2013-11-01to2013-11-29","Health Care"
1230,276,283,103,5.04826498497409,"test.nnet","2013-11-01to2013-11-29","Health Care"
1449,309,64,70,9.41855909462687,"test.rf","2013-11-01to2013-11-29","Health Care"
1470,324,43,55,10.1013140414286,"test.ada","2013-11-01to2013-11-29","Health Care"
1477,330,36,49,10.6321175663529,"test.voted","2013-11-01to2013-11-29","Health Care"
1438,309,75,70,8.70460336855172,"test.voted.prob","2013-11-01to2013-11-29","Health Care"
2369,0,0,592,12.6414100913851,"test.actual","2013-06-03to2013-11-29","Information Technology"
2313,531,56,61,7.63796599769231,"test.ksvm","2013-06-03to2013-11-29","Information Technology"
2037,458,332,134,4.59594982178326,"test.nnet","2013-06-03to2013-11-29","Information Technology"
2325,512,44,80,9.84310624927419,"test.rf","2013-06-03to2013-11-29","Information Technology"
2362,581,7,11,8.26811849722222,"test.ada","2013-06-03to2013-11-29","Information Technology"
2362,578,7,14,9.92233729190476,"test.voted","2013-06-03to2013-11-29","Information Technology"
2283,528,86,64,6.13330238244667,"test.voted.prob","2013-06-03to2013-11-29","Information Technology"
2369,0,0,592,12.6414100913851,"test.actual","2013-09-02to2013-11-29","Information Technology"
2326,543,43,49,8.66526909409783,"test.ksvm","2013-09-02to2013-11-29","Information Technology"
1870,384,499,208,4.51737545502122,"test.nnet","2013-09-02to2013-11-29","Information Technology"
2257,460,112,132,8.45403617151639,"test.rf","2013-09-02to2013-11-29","Information Technology"
2324,544,45,48,6.30861494929032,"test.ada","2013-09-02to2013-11-29","Information Technology"
2348,546,21,46,9.69501479955224,"test.voted","2013-09-02to2013-11-29","Information Technology"
2218,457,151,135,7.85944001096154,"test.voted.prob","2013-09-02to2013-11-29","Information Technology"
