"","Date","SecId","output","bin.output","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type"
"1",2013-12-02,1,8.0483675,"1","1","1","1","1",0.0157216878513697,0.98427831214863,1,0.092,0.908,0.0518485837373204,0.94815141626268,4,1,0.960107432102827,1,"test"
"2",2013-12-02,110,1.2789965,"0","0","0","0","0",0.943522902467457,0.0564770975325432,0.30824148778,0.924,0.076,0.997331395002195,0.00266860499780541,0,0,0.110846797577587,0,"test"
"3",2013-12-02,129,-12.843889,"0","0","0","0","0",0.816914010558304,0.183085989441696,0,0.926,0.074,0.999120680400319,0.000879319599680997,0,0,0.0644913272603443,0,"test"
"4",2013-12-02,146,8.32479,"1","1","1","1","1",0.201724469518519,0.798275530481481,1,0.242,0.758,0.044924875729408,0.955075124270592,4,1,0.877837663688018,1,"test"
"5",2013-12-02,161,5.3863406,"0","0","1","1","0",0.899681024928775,0.100318975071225,1,0.43,0.57,0.930898425605455,0.0691015743945448,2,0,0.434855137366442,0,"test"
"6",2013-12-02,167,0.96729994,"0","0","0","0","0",0.89353723429443,0.10646276570557,0,0.946,0.054,0.996195523575647,0.00380447642435317,0,0,0.0410668105324809,0,"test"
"7",2013-12-02,196,3.7006378,"0","0","0","0","0",0.948742339651122,0.0512576603488779,0,0.94,0.06,0.997066312211296,0.00293368778870363,0,0,0.0285478370343954,0,"test"
"8",2013-12-02,20,1.4044881,"0","0","0","0","0",0.908051057020981,0.0919489429790186,0,0.94,0.06,0.996383736838976,0.00361626316102432,0,0,0.0388913015350107,0,"test"
"9",2013-12-02,22,15.720391,"1","1","1","1","1",0.0385801388209086,0.961419861179091,1,0.286,0.714,0.144151992481663,0.855848007518337,4,1,0.882816967174357,1,"test"
"10",2013-12-02,228,3.640461,"0","0","0","0","1",0.580640263260519,0.419359736739481,0.00235192630836906,0.606,0.394,0.380067305833036,0.619932694166964,1,0,0.358911089303704,0,"test"
"11",2013-12-02,231,-1.4700294,"0","0","0","0","0",0.919374952633073,0.0806250473669269,0,0.956,0.044,0.999744598289694,0.000255401710306421,0,0,0.0312201122693083,0,"test"
"12",2013-12-02,241,3.0229807,"0","0","0","0","0",0.849805350706766,0.150194649293234,0,0.948,0.052,0.998473353995464,0.00152664600453645,0,0,0.0509303238244427,0,"test"
"13",2013-12-02,246,-2.5327265,"0","0","0","0","0",0.960871722193603,0.0391282778063973,0,0.986,0.014,0.999685027983054,0.000314972016946225,0,0,0.0133608124558359,0,"test"
"14",2013-12-02,268,-8.629995,"0","0","1","0","0",0.877866746864041,0.122133253135959,0.99999934381294,0.836,0.164,0.999561193477737,0.000438806522263038,1,0,0.32164285086779,0,"test"
"15",2013-12-02,271,2.450788,"0","0","0","0","0",0.870837448676096,0.129162551323904,0,0.97,0.03,0.999205905426975,0.000794094573025476,0,0,0.0399891614742323,0,"test"
"16",2013-12-02,290,-1.5072942,"0","0","0","0","0",0.937010894503553,0.0629891054964474,0,0.988,0.012,0.999214608813265,0.000785391186735532,0,0,0.0189436241707957,0,"test"
"17",2013-12-02,293,-0.43372512,"0","0","0","0","0",0.864730372256146,0.135269627743854,0,0.962,0.038,0.999917133800905,8.28661990946194e-05,0,0,0.0433381234857372,0,"test"
"18",2013-12-02,30,8.778656,"1","1","1","1","1",0.068255083236093,0.931744916763907,1,0.28,0.72,0.0540259723889549,0.945974027611045,4,1,0.899429736093738,1,"test"
"19",2013-12-02,302,1.396966,"0","0","0","0","0",0.896704115150485,0.103295884849515,0,0.922,0.078,0.997284464236484,0.00271553576351607,0,0,0.0460028551532577,0,"test"
"20",2013-12-02,308,0.5828023,"0","0","0","0","0",0.949635501276528,0.0503644987234724,0,0.908,0.092,0.999702509694097,0.000297490305903107,0,0,0.0356654972573439,0,"test"
"21",2013-12-02,317,0.41646957,"0","0","0","0","0",0.965903196921641,0.0340968030783589,0,0.92,0.08,0.999581805328473,0.00041819467152707,0,0,0.0286287494374715,0,"test"
"22",2013-12-02,34,0.55531263,"0","0","0","0","0",0.701823259863156,0.298176740136844,0,0.906,0.094,0.98213301282998,0.0178669871700203,0,0,0.102510931826716,0,"test"
"23",2013-12-02,355,-0.2904117,"0","0","0","0","0",0.798302082237779,0.201697917762221,0,0.946,0.054,0.999673341300924,0.000326658699076142,0,0,0.0640061441153243,0,"test"
"24",2013-12-02,359,-1.889813,"0","0","0","0","0",0.883182893420402,0.116817106579598,1.27354042316006e-05,0.992,0.008,0.999313950050101,0.000686049949898586,0,0,0.0313789729834319,0,"test"
"25",2013-12-02,365,10.2996235,"1","0","1","1","0",0.653238539859,0.346761460141,1,0.256,0.744,0.555755427981338,0.444244572018661,2,0,0.633751508039915,1,"test"
"26",2013-12-02,375,-1.1402369,"0","0","0","0","0",0.938784200613212,0.0612157993867883,0,0.974,0.026,0.999152664732748,0.000847335267251766,0,0,0.02201578366351,0,"test"
"27",2013-12-02,388,-4.264349,"0","0","1","0","0",0.910134651077153,0.0898653489228468,1,0.894,0.106,0.992459771116974,0.00754022888302567,1,0,0.300851394451468,0,"test"
"28",2013-12-02,39,-0.18365979,"0","0","0","0","0",0.902005496952009,0.0979945030479912,0,0.97,0.03,0.999870581199092,0.000129418800908297,0,0,0.0320309804622249,0,"test"
"29",2013-12-02,4,5.68341,"0","0","1","1","1",0.525077353847875,0.474922646152125,1,0.182,0.818,0.0180553434899882,0.981944656510012,3,1,0.818716825665534,1,"test"
"30",2013-12-02,418,3.4741998,"0","1","1","1","1",0.193622776597098,0.806377223402902,1,0.2,0.8,0.104952945832806,0.895047054167195,4,1,0.875356069392524,1,"test"
"31",2013-12-02,425,1.636684,"0","0","0","0","0",0.968658822311623,0.0313411776883771,0,0.992,0.008,0.9998173480344,0.000182651965599606,0,0,0.00988095741349417,0,"test"
"32",2013-12-02,435,-2.387029,"0","0","0","0","0",0.894491441176734,0.105508558823266,0,0.958,0.042,0.999482502882168,0.000517497117832284,0,0,0.0370065139852746,0,"test"
"33",2013-12-02,439,10.334921,"1","0","0","1","1",0.799811175729634,0.200188824270366,0.108580748082293,0.164,0.836,0.022580110258417,0.977419889741583,2,0,0.530547365523561,1,"test"
"34",2013-12-02,453,-2.2024214,"0","0","0","0","0",0.905314761926195,0.0946852380738049,0,0.818,0.182,0.995628849785805,0.00437115021419551,0,0,0.0702640970720001,0,"test"
"35",2013-12-02,454,2.1293879,"0","0","0","0","0",0.889035570854729,0.110964429145271,1.89588790631414e-05,0.926,0.074,0.995383686813902,0.00461631318609799,0,0,0.0473999253026081,0,"test"
"36",2013-12-02,463,-2.1166682,"0","0","0","0","0",0.95567013773834,0.04432986226166,0,0.852,0.148,0.995276361766511,0.00472363823348903,0,0,0.0492633751237873,0,"test"
"37",2013-12-02,470,9.813774,"1","1","1","1","1",0.0324405619085821,0.967559438091418,1,0.25,0.75,0.221941060777771,0.778058939222229,4,1,0.873904594328412,1,"test"
"38",2013-12-02,474,0.66438913,"0","0","0","0","0",0.954236311545475,0.0457636884545254,0,0.994,0.006,0.999669205913908,0.000330794086091542,0,0,0.0130236206351542,0,"test"
"39",2013-12-02,493,2.668357,"0","0","0","0","0",0.973149201093667,0.0268507989063329,0,0.986,0.014,0.99978317877958,0.000216821220419572,0,0,0.0102669050316881,0,"test"
"40",2013-12-02,499,2.8700829,"0","0","0","0","0",0.881168992714451,0.118831007285549,0,0.838,0.162,0.999822066766487,0.000177933233512865,0,0,0.0702522351297653,0,"test"
"41",2013-12-02,5,-0.3684342,"0","0","0","0","0",0.944260501469489,0.0557394985305106,0,0.982,0.018,0.999736189302162,0.000263810697837834,0,0,0.0185008273070871,0,"test"
"42",2013-12-02,500,5.1463485,"0","0","1","1","1",0.677317726654023,0.322682273345977,0.999802561801975,0.448,0.552,0.412751414742482,0.587248585257518,3,1,0.615433355101367,1,"test"
"43",2013-12-02,516,3.5707831,"0","0","0","0","0",0.329034888204377,0.670965111795623,0,0.638,0.362,0.564126420405559,0.435873579594441,0,0,0.367209672847516,0,"test"
"44",2013-12-02,544,1.0215759,"0","0","0","0","0",0.903110903103836,0.0968890968961642,0,0.934,0.066,0.9996386999252,0.000361300074799957,0,0,0.040812599242741,0,"test"
"45",2013-12-02,55,3.2665253,"0","0","0","0","0",0.936151167286435,0.063848832713565,0,0.998,0.002,0.999686353378439,0.000313646621560947,0,0,0.0165406198337815,0,"test"
"46",2013-12-02,558,4.3643,"0","0","0","0","0",0.74264290781808,0.25735709218192,0,0.882,0.118,0.974137593876648,0.025862406123352,0,0,0.100304874576318,0,"test"
"47",2013-12-02,575,-3.5819411,"0","0","0","0","0",0.919214055618793,0.0807859443812071,0,0.97,0.03,0.998960532845841,0.00103946715415873,0,0,0.0279563528838415,0,"test"
"48",2013-12-02,580,-6.739962,"0","0","0","0","0",0.906628030016288,0.0933719699837121,0,0.962,0.038,0.993561436597778,0.00643856340222242,0,0,0.0344526333464836,0,"test"
"49",2013-12-02,588,2.6911855,"0","0","0","0","0",0.933932436471321,0.0660675635286788,0,0.872,0.128,0.98315225016052,0.01684774983948,0,0,0.0527288283420397,0,"test"
"50",2013-12-02,59,-3.054428,"0","0","0","0","0",0.946992921206575,0.0530070787934254,0,0.982,0.018,0.999619248239374,0.000380751760625934,0,0,0.0178469576385128,0,"test"
"51",2013-12-02,593,5.4358244,"0","0","0","0","0",0.939694033797039,0.0603059662029607,0,0.952,0.048,0.9997556535738,0.000244346426199838,0,0,0.0271375781572901,0,"test"
"52",2013-12-02,599,-4.8691807,"0","0","1","0","0",0.96606460797996,0.0339353920200405,0.584296801128746,0.91,0.09,0.999060258574555,0.000939741425444857,1,0,0.177292983643558,0,"test"
"53",2013-12-02,6,1.9415021,"0","0","0","0","0",0.798004867126416,0.201995132873584,0.00391794518959022,0.964,0.036,0.998692775922682,0.00130722407731806,0,0,0.0608050755351229,0,"test"
"54",2013-12-02,60,1.9186378,"0","0","0","0","0",0.865921176142163,0.134078823857837,2.18098698622888e-06,0.976,0.024,0.999891125797972,0.000108874202028491,0,0,0.0395474697617128,0,"test"
"55",2013-12-02,619,1.0636687,"0","0","0","0","0",0.928025926629378,0.0719740733706219,0,0.95,0.05,0.997415605684608,0.00258439431539202,0,0,0.0311396169215035,0,"test"
"56",2013-12-02,64,-2.8454304,"0","0","0","0","0",0.976166891466594,0.0238331085334064,0,0.946,0.054,0.999054474599368,0.000945525400631719,0,0,0.0196946584835095,0,"test"
"57",2013-12-02,665,-0.04402399,"0","0","0","0","0",0.822180267181551,0.177819732818449,0,0.884,0.116,0.985711719472001,0.0142882805279991,0,0,0.077027003336612,0,"test"
"58",2013-12-02,667,-3.8561285,"0","0","0","0","0",0.883018178824987,0.116981821175013,1.12811982878931e-05,0.912,0.088,0.998741842967147,0.00125815703285299,0,0,0.0515628148515384,0,"test"
"59",2013-12-02,668,-0.44543743,"0","0","0","0","0",0.866973995980362,0.133026004019638,0,0.93,0.07,0.991119240483629,0.00888075951637101,0,0,0.0529766908840022,0,"test"
"60",2013-12-02,670,1.0017157,"0","0","0","0","0",0.890646917141488,0.109353082858512,8.51144737646004e-07,0.924,0.076,0.995391902776272,0.00460809722372831,0,0,0.0474905078067446,0,"test"
"61",2013-12-02,672,-0.29668212,"0","0","0","0","0",0.957055287353808,0.0429447126461917,0,0.996,0.004,0.999922876455751,7.71235442493491e-05,0,0,0.0117554590476103,0,"test"
"62",2013-12-02,68,4.297495,"0","0","0","0","0",0.884794730686948,0.115205269313052,0,0.932,0.068,0.993154518533573,0.00684548146642724,0,0,0.0475126876948698,0,"test"
"63",2013-12-02,680,1.3433695,"0","0","0","0","0",0.839075952488437,0.160924047511563,0,0.972,0.028,0.998668163830162,0.00133183616983808,0,0,0.0475639709203503,0,"test"
"64",2013-12-02,71,1.6920567,"0","0","0","0","0",0.606768859815221,0.393231140184779,0.460350180337418,0.802,0.198,0.992996406334287,0.0070035936657127,0,0,0.264646228546977,0,"test"
"65",2013-12-02,720,2.701652,"0","0","0","0","0",0.797400575751692,0.202599424248308,0,0.962,0.038,0.995288962068102,0.00471103793189833,0,0,0.0613276155450516,0,"test"
"66",2013-12-02,730,-3.8198173,"0","0","0","0","0",0.922495084986044,0.0775049150139563,0,0.984,0.016,0.999420013047337,0.000579986952662898,0,0,0.0235212254916548,0,"test"
"67",2013-12-02,733,3.066671,"0","0","0","0","0",0.886594392076868,0.113405607923132,0,0.878,0.122,0.993843600802648,0.00615639919735255,0,0,0.0603905017801211,0,"test"
"68",2013-12-02,740,-0.91492534,"0","0","0","0","0",0.972392075837851,0.0276079241621494,0,0.986,0.014,0.999766738860397,0.00023326113960283,0,0,0.0104602963254381,0,"test"
"69",2013-12-02,754,5.230129,"0","0","1","1","1",0.561542971519159,0.438457028480841,0.999740162833811,0.142,0.858,0.396691511631259,0.603308488368741,3,1,0.724876419920848,1,"test"
"70",2013-12-02,764,-4.14263,"0","0","0","0","0",0.884524597675859,0.115475402324141,0,0.994,0.006,0.99970031182467,0.00029968817532969,0,0,0.0304437726248677,0,"test"
"71",2013-12-02,77,3.213334,"0","0","0","0","0",0.894219172582894,0.105780827417106,0,0.888,0.112,0.995258647482533,0.00474135251746697,0,0,0.0556305449836433,0,"test"
"72",2013-12-02,794,-3.3661723,"0","0","0","0","0",0.939376104918353,0.0606238950816473,0,0.948,0.052,0.990723173932648,0.00927682606735186,0,0,0.0304751802872498,0,"test"
"73",2013-12-02,810,3.2960534,"0","0","0","0","0",0.71066296849823,0.28933703150177,0.000345895333669301,0.87,0.13,0.985932575524523,0.0140674244754769,0,0,0.108437587827729,0,"test"
"74",2013-12-02,818,6.0488224,"0","1","0","0","0",0.0662184635257813,0.933781536474219,0,0.658,0.342,0.910005090081816,0.0899949099181837,1,0,0.341444111598101,0,"test"
"75",2013-12-02,828,4.6840906,"0","0","1","0","0",0.852047637292543,0.147952362707457,0.999996915528202,0.932,0.068,0.985081911802976,0.0149180881970237,1,0,0.307716841608171,0,"test"
"76",2013-12-02,841,11.573362,"1","0","0","1","1",0.75699281405572,0.24300718594428,0.00837450480531624,0.226,0.774,0.309837980751946,0.690162019248054,2,0,0.428885927499413,0,"test"
"77",2013-12-02,844,-3.3268034,"0","0","0","0","0",0.954147179177031,0.0458528208229688,0,0.972,0.028,0.999463537720891,0.000536462279108705,0,0,0.0185973207755194,0,"test"
"78",2013-12-02,848,-8.040201,"0","0","0","0","0",0.82038362690598,0.17961637309402,7.71513419525822e-05,0.85,0.15,0.993905079217497,0.00609492078250297,0,0,0.0839471113046188,0,"test"
"79",2013-12-02,86,5.6512237,"0","0","0","0","0",0.82613010058771,0.17386989941229,0,0.884,0.116,0.991917774581264,0.0080822254187356,0,0,0.0744880312077564,0,"test"
"80",2013-12-02,868,20.979988,"1","0","0","0","0",0.588776863274754,0.411223136725246,0,0.71,0.29,0.856787110176466,0.143212889823534,0,0,0.211109006637195,0,"test"
"81",2013-12-02,87,-2.976501,"0","0","0","0","0",0.874621643090112,0.125378356909888,0,0.952,0.048,0.99877915983099,0.00122084016900983,0,0,0.0436497992697244,0,"test"
"82",2013-12-02,877,-5.2220764,"0","0","0","0","0",0.964716952436472,0.0352830475635281,0,0.982,0.018,0.999815310616957,0.000184689383043044,0,0,0.0133669342366428,0,"test"
"83",2013-12-02,885,3.6009312,"0","0","1","1","1",0.780163705543389,0.219836294456611,1,0.46,0.54,0.202915064538247,0.797084935461753,3,1,0.639230307479591,1,"test"
"84",2013-12-02,89,0.37811995,"0","0","0","0","0",0.946050572412753,0.0539494275872469,0,0.946,0.054,0.998334409783209,0.00166559021679143,0,0,0.0274037544510096,0,"test"
"85",2013-12-02,9,3.308332,"0","0","0","0","0",0.843188983410712,0.156811016589288,0,0.874,0.126,0.994035519285607,0.00596448071439336,0,0,0.0721938743259203,0,"test"
"86",2013-12-02,92,1.5320301,"0","0","0","0","0",0.834618739285937,0.165381260714063,0,0.932,0.068,0.998419419800011,0.00158058019998865,0,0,0.0587404602285129,0,"test"
"87",2013-12-03,1,6.737578,"0","1","1","1","1",0.0132623965789576,0.986737603421042,0.99992997822549,0.086,0.914,0.0257836370820218,0.974216362917978,4,1,0.968720986141128,1,"test"
"88",2013-12-03,110,1.7784953,"0","0","0","0","0",0.944949299061913,0.0550507009380871,0,0.808,0.192,0.997331684228695,0.00266831577130537,0,0,0.0624297541773481,0,"test"
"89",2013-12-03,129,-12.027603,"0","0","0","0","0",0.714034465349514,0.285965534650486,5.74396964214939e-05,0.882,0.118,0.999553948568941,0.000446051431058763,0,0,0.101117256444492,0,"test"
"90",2013-12-03,146,10.651302,"1","1","1","1","1",0.251211457237583,0.748788542762417,1,0.342,0.658,0.0820507859145821,0.917949214085418,4,1,0.831184439211959,1,"test"
"91",2013-12-03,161,4.5549273,"0","0","0","0","0",0.912330654091913,0.0876693459080872,0,0.558,0.442,0.964253235346484,0.0357467646535159,0,0,0.141354027640401,0,"test"
"92",2013-12-03,167,1.3719678,"0","0","0","0","0",0.905995622918773,0.0940043770812272,5.77598245759886e-05,0.948,0.052,0.99685031412215,0.00314968587785018,0,0,0.0373029556959133,0,"test"
"93",2013-12-03,196,3.6290884,"0","0","0","0","0",0.785734309127018,0.214265690872982,0,0.8,0.2,0.92692041339538,0.0730795866046198,0,0,0.121836319369401,0,"test"
"94",2013-12-03,20,3.4695983,"0","0","0","0","0",0.903663745539193,0.0963362544608072,0,0.87,0.13,0.995914070550564,0.00408592944943574,0,0,0.0576055459775607,0,"test"
"95",2013-12-03,22,15.804839,"1","1","1","1","1",0.0418895069536097,0.95811049304639,0.999431667441608,0.322,0.678,0.19906761658317,0.80093238341683,4,1,0.859118635976207,1,"test"
"96",2013-12-03,228,2.6610255,"0","0","0","0","0",0.611155743572471,0.388844256427529,0.0224376500395458,0.608,0.392,0.505839610224824,0.494160389775176,0,0,0.324360574060563,0,"test"
"97",2013-12-03,231,-0.520432,"0","0","0","0","0",0.930030457736839,0.0699695422631614,0,0.956,0.044,0.99978378752667,0.000216212473329696,0,0,0.0285464386841228,0,"test"
"98",2013-12-03,241,3.614974,"0","0","0","0","0",0.857818256643149,0.142181743356851,0,0.91,0.09,0.996829713571431,0.00317028642856869,0,0,0.0588380074463549,0,"test"
