"","Date","SecId","output","bin.output","ksvm","nnet","rf","ada","ksvm.prob.0","ksvm.prob.1","nnet.prob","rf.prob.0","rf.prob.1","ada.prob.1","ada.prob.2","votes","voted","all.prob","voted.prob","type"
"1",2013-12-02,125,7.388437,"1","0","0","0","0",0.87145398033106,0.12854601966894,4.47565852787794e-07,0.978,0.022,0.942106662004282,0.0578933379957186,0,0,0.0521099513076279,0,"test"
"2",2013-12-02,140,14.669418,"1","0","1","0","0",0.863378334603546,0.136621665396454,0.780112614681443,0.502,0.498,0.628972371753898,0.371027628246102,1,0,0.446440477081,0,"test"
"3",2013-12-02,150,0.59815645,"0","0","0","0","0",0.942972749869692,0.0570272501303083,0.0107242324557004,0.97,0.03,0.973375305114701,0.0266246948852985,0,0,0.0310940443678268,0,"test"
"4",2013-12-02,156,6.986606,"1","0","0","0","0",0.848992832337744,0.151007167662256,0.0122316902275887,0.948,0.052,0.941205328110003,0.0587946718899971,0,0,0.0685083824449604,0,"test"
"5",2013-12-02,174,10.286379,"1","0","1","1","0",0.881988591196359,0.118011408803641,0.923333764137498,0.21,0.79,0.620938265186316,0.379061734813684,2,0,0.552601726938706,1,"test"
"6",2013-12-02,185,4.2265177,"0","0","0","0","0",0.851762892596615,0.148237107403385,0,0.976,0.024,0.91479116823465,0.0852088317653495,0,0,0.0643614847921837,0,"test"
"7",2013-12-02,2,12.845016,"1","1","0","1","0",0.0817235477943646,0.918276452205635,2.47031988395595e-05,0.178,0.822,0.555739462263862,0.444260537736138,2,0,0.546140423285153,1,"test"
"8",2013-12-02,234,-0.71592927,"0","0","0","0","0",0.935319204522285,0.0646807954777153,0.000580513204439532,0.942,0.058,0.984244411938373,0.0157555880616274,0,0,0.0347542241859456,0,"test"
"9",2013-12-02,237,5.9649825,"1","0","0","0","0",0.883983764154344,0.116016235845656,0.000422202108387737,0.886,0.114,0.919897364078119,0.0801026359218812,0,0,0.0776352684689812,0,"test"
"10",2013-12-02,281,4.0975094,"0","0","0","0","0",0.71874125980503,0.28125874019497,0,0.856,0.144,0.942776244122386,0.0572237558776144,0,0,0.120620624018146,0,"test"
