"FactSet Universal Screen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","GICS","","GICS","","","","","","","","","52W High","52W Low","Volume","","Short","Divs","Issue","Issue","Cur Shr","% of","Sec","","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","FE","","","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","FE","FE Val","FE Val","FE Val","FE Val","FE Val","FE Val","","Enter-","Enter-","Price","","","","","Return","CF Ret","","","","Total","Total","","Repur","Repur","Sale of","Sale of","LST","LST","LST","LST","FE","","FE Guid","FE Guid","FE",""
"","","","","GICS","Ind","GICS","Sub","","","Simple","Price","Latest","","Daily","Daily","Intraday","Intraday","Weightd","","Intrest","Earned","Common","Common","Out -","Closely","Market","Split","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Eps","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Ebitda","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Dps","Eps","","","P_Salesps","P_Salesps","P_Salesps","Pbps","Ev_Ebit","Ev_Ebitda","Ev_Fcf","Ev_Sales","Eps_Ltg","Peg","Gross_Margin","Ebitda_Margin","Ebit_Margin","Net_Margin","Roic","Price","prise","prise","/ Free","Price","","","","on Avg","on Tot","Free","L T","Capital","Debt %","Debt%","Total","Cmn &","Cmn &","Com &","Com &","Num","Num","Num","Num","Rating","S&P","Eps","Fcfps","Eps","EPS"
"Company","","SEDOLCHK","ISIN","Sector","Group","Ind","Ind","EC","Trading","Tot Ret","Chg","Closing","Opening","High","Low","Price","Price","Average","Daily","%","Per Shr","Shares","Shares","Closely","Held","Value","Adjust","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Mean","Mean","Mean","Up","Up","Up","Down","Down","Down","Nest","","","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","Mean","/ Earns","Value","Value/","Cash","/Sales","Earns","Div","Div","Invest","Invest","Cash","Invest","Expend","Total","Total","Debt/","Pfd Stk","Pfd Stk","Pfd Stk","Pfd Stk","Insider","Insider","Shs","Shs","Mean","Rating","Mean","Mean","Mean","Report"
"Symbol","Company Name","Symbol","Symbol","Name","Name","Name","Name","DATEN","Day","(LOCAL)","(LOCAL)","Price","Price","Price","Price","(LOCAL)","(LOCAL)","Price","Volume","Out","(0)","Outstdg","Outstdg","Held Sh","Shares","(LOCAL)","Factor","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual","","","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Annual_Roll","Ratio","/EBIT","EBITDA","Flow","CFY","Yield","Yield","Payout","Capital","Capital","Flow","Capital","CF","Capital","Assets","EBITDA","CF","CF","CF","CF","Purch","Sales","Purch","Sold","Note","Text","Annual_Roll","Annual_Roll","Annual_Roll","Date"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A","Agilent Technologies, Inc.","2520153","US00846U1016","Health Care","Pharmaceuticals Biotechnology & Life Sciences","Life Sciences Tools & Services","Life Sciences Tools & Services","20130110.0","20130110.0","-0.77452064","-0.77452064","43.67","43.64","44.12","43.33","61.22","40.19","43.727116","3949070.0","0.5629838","0.0","347.935","347.935","328.009671","0.268592774566","15194.321","0.0","3.03405","3.393729","3.678287","0.0","2.0","1.0","14.0","10.0","1.0","4.6982946","5.0779457","5.2102046","2.0","0.0","0.0","0.0","0.0","0.0","0.334397","0.31954","0.298843","0.0","0.0","0.0","3.0","3.0","1.0","15.0","-4.5924435","-4.6151485","2.1333764","2.0299714","1.9393573","2.5896606","10.50159","8.796649","13.339062","2.0190256","7.684994","1.87291","54.9644","22.952213","19.225903","15.148636","42","11.006116208","11.1370140105","8.81390852391","12.28672147","1.82626421697","9.08585718255","1.11141983884","12.2324159021","15.8075130244","16.8357554154","1034.0","7294.0","2451.0","31.309650053","22.4183750949","1.63686763687","172.0","94.0","100.0","10.0","42","42","42","42","1.1944444","B-","2.9499998","42","-1.0611773","20121119"
"AA","Alcoa Inc.","2021805","US0138171014","Materials","Materials","Metals & Mining","Aluminum","20130110.0","20130110.0","1.1814237","1.1814237","8.97","9.12","9.12","8.92","12.32","7.63","9.006018","28960450.0","11.080422","0.0","1067.212","1067.212","1065.645752","0.502734998884","9572.892","0.5","0.610081","0.861337","0.945479","3.0","1.0","0.0","11.0","8.0","1.0","2.8486104","3.288728","3.4376092","5.0","6.0","5.0","10.0","5.0","1.0","0.12","0.131667","0.12","0.0","0.0","0.0","0.0","1.0","0.0","17.0","46.35961","11.664053","0.3892372","0.36668232","0.3572846","0.70047003","11.097964","5.5627456","42","0.68761307","9.15","1.6068815","16.670744","12.361037","6.195849","1.6686041","42","48.2222222222","36.3222878229","9.82369261477","39.5749152542","0.391080145258","2.07373271889","1.38248847926","66.6666666667","0.887959088796","6.95955369596","236.0","21510.0","1261.0","40.0808062466","21.9741656089","4.40568862275","0.0","0.0","12.0","0.0","2.0","1.0","3905.0","-14665.0","1.8333334","B-","42","42","137.39023","20130108"
"AAN","Aaron's, Inc.","2002918","US0025353006","Consumer Discretionary","Retailing","Specialty Retail","Homefurnishing Retail","20130110.0","20130110.0","-0.1860857","-0.1860857","28.92","29.32","29.34","28.73","30.45","26.18","28.927723","189977.0","9.615612","0.0","75.604","75.604","67.561668","11.501500349","2186.4678","0.6666667","2.074167","2.329167","2.648","0.0","0.0","0.0","0.0","0.0","0.0","4.1225204","4.5844884","5.220627","0.0","0.0","0.0","7.0","7.0","3.0","0.064","0.071333","0.074","0.0","0.0","0.0","0.0","0.0","0.0","10.0","6.231346","-4.4895897","0.9808","0.9064334","0.84742683","2.0172055","8.446748","7.220369","108.040886","1.0094955","12.0","1.1619122","54.366753","13.981217","11.951294","5.9402924","42","12.5688888889","6.80182875292","2.1636983772","42","0.964726526014","7.95615275813","0.219236209335","2.75555555556","13.5624371522","4.68328605948","-5.319","1275.899","65.073","11.0771773892","7.59617593449","0.145906207571","34.131","0.0","15.756","6.349","0.0","0.0","0.0","0.0","1.625","A+","2.07","42","2.3590446","20130207"
"AAON","AAON, Inc.","2268130","US0003602069","Industrials","Capital Goods","Building Products","Building Products","20130110.0","20130110.0","-5.015379","-5.015379","14.68","14.580001","14.726667","14.366667","34.27","14.966667","14.594813","89656.5","2.6583896","0.0","36.789","24.526","20.7003975342","43.5782338746","540.0625","0.6666667","0.673334","0.76","0.893334","0.0","0.0","0.0","0.0","0.0","0.0","1.4889503","1.610916","42","0.0","42","42","0.0","42","42","42","42","42","42","42","42","42","42","42","1.0","-31.29245","-23.484772","1.8356115","1.7155247","42","42","42","42","42","42","10.0","2.1801958","22.787155","18.618082","14.007833","42","42","18.8018027027","11.4463055813","8.78413854292","13.9241671072","1.69032398959","5.31863894017","1.14997598706","21.6216216216","19.8709966989","37.0410320264","37.02","138.136","14.147","0.0","0.0","0.0","6.66","2.281","1.996","0.943","0.0","0.0","0.0","0.0","2.0","B+","42","42","3.061223","20130313"
"AAP","Advance Auto Parts, Inc.","2822019","US00751Y1064","Consumer Discretionary","Retailing","Specialty Retail","Automotive Retail","20130110.0","20130110.0","-2.0215034","-2.0215034","71.76","72.56","72.56","71.51","120.31","72.14","71.831665","583158.0","2.4889088","0.0","73.364","73.364","72.239562","0.807452679776","5264.601","0.6666667","5.123275","5.622101","6.111343","1.0","3.0","2.0","3.0","6.0","2.0","11.244713","11.887521","12.489304","1.0","5.0","4.0","0.0","1.0","1.0","0.207947","0.208081","0.223148","0.0","0.0","0.0","1.0","1.0","1.0","21.0","-7.43784","-7.087808","0.8482475","0.81166905","0.7824507","4.588551","8.461499","6.5849695","14.055923","0.87527055","9.854321","1.421373","49.7686","13.2919445","10.344154","6.222888","42","13.6992337165","8.12184511231","6.3040135607","13.6702965242","0.842342446893","7.29967836666","0.335617396168","4.59770114943","21.3574047395","36.2836231617","387.422","1815.155","271.182","33.6425680623","13.3037439307","0.724807789727","27.095","1.902","8.495","1.313","0.0","0.0","0.0","0.0","1.7391304","A","5.1000004","42","-3.7882626","20130207"
"AAPL","Apple Inc.","2046251","US0378331005","Information Technology","Technology Hardware & Equipment","Computers & Peripherals","Computer Hardware","20130110.0","20130110.0","-1.135242","-1.135242","523.51","528.55","528.72","515.52","575.1358","385.1","521.08545","21469330.0","1.7075557","0.0","939.039","939.039","891.693564","0.0314558649415","491596.3","0.5","48.788704","57.283802","61.41066","1.0","1.0","0.0","16.0","12.0","4.0","70.70036","86.00613","93.69984","6.0","4.0","0.0","10.0","15.0","6.0","9.566951","11.083683","12.5329","0.0","0.0","0.0","1.0","0.0","0.0","51.0","12.394196","14.710493","2.5803592","2.2404652","2.0230355","3.2291608","5.6308217","5.2208705","7.6447344","1.8193645","23.4","0.4585533","40.742046","34.847916","32.310818","21.043156","42","15.1099660249","11.0100312493","10.387008466","14.8175805849","3.99831867392","6.61814856732","0.397238815479","6.00226500566","35.3041197868","43.0217409695","42561.0","118210.0","9402.0","0.0","0.0","0.0","0.0","1950.0","665.0","76.0","0.0","1.0","0.0","-3064.0","1.2019231","B+","42","42","9.884834","20130124"
